,category_id,name,district,address,latitude,longitude,price,phone_number,image_url,page_url,description,장소,참가규모(명),수혜기관명,기관 홈페이지,work_time
21,,"스트레칭,헬스(신길3동주민센터 헬스장)",영등포,서울특별시 영등포구 신길로41라길 13-8,37.50729867,126.9077496,지자체에 문의,02-846-9697,,,"스트레칭, 헬스",신길3동주민센터 헬스장,20명,신길주민센터 헬스장,,화 09:50~10:30 / 10:30~11:10
23,,"스트레칭,생활체조(양평동헬스장)",영등포,서울특별시 영등포구 선유서로 34길 10 4층,37.5268695,126.8874353,지자체에 문의,,,,"스트레칭,생활체조",양평동헬스장,20명,양평동주민복지회관,,월 09:50~10:30 / 10:30~11:10
25,,헬스(대림1동 주민자치센터),영등포,서울특별시 영등포구 디지털로 441 대림제1동 사무소 체육관3층,37.49545723,126.905842,지자체에 문의,02-2670-1379,,,헬스,대림1동 주민자치센터,20명,대림1동 주민자치센터,,수 09:50~10:30 / 10:30~11:10
28,,배구(구로구민체육센터),구로,서울특별시 구로구 고척로45길 39,37.50658124,126.8532759,지자체에 문의,02-2681-9595,,,배구,구로구민체육센터,20명,구로구민체육센터,https://www.gurosisul.or.kr/mod.asp?m=business&s=b01,"월, 수, 금 10:00~12:00"
30,,헬스(G밸리보건지소),구로,"서울특별시 구로구 디지털로 243, 213호(구로동, 지하이시티)",37.48199214,126.8923489,지자체에 문의,02)860-8174,,,헬스,G밸리보건지소,120명,G밸리보건지소,https://pf.kakao.com/_XJaxdK,"화, 목 10:00~11:30"
31,,특수체육(기쁜우리복지관),강서,서울특별시 강서구 허준로65,37.56927822,126.8488644,지자체에 문의,02-3665-3831,,,특수체육,기쁜우리복지관,20,기쁜우리복지관,,화 10:30~11:20
32,,스트레칭(우장산동주민센터),강서,서울특별시 강서구 우현로 34,37.54828859,126.8418363,지자체에 문의,02-2600-7745,,,스트레칭,우장산동주민센터,15,우장산동주민센터,,금 14:00~14:50
33,,스트레칭(가양2동주민센터),강서,서울특별시 강서구 허준로 93,37.56739892,126.8512712,지자체에 문의,02-2600-7808,,,스트레칭,가양2동주민센터,15,가양2동주민센터,,금 10:00~10:50
34,,스트레칭(등촌9복지관),강서,서울특별시 강서구 화곡로63가길 92-(등촌3동 704) 주공9단지,37.5619516,126.8502091,지자체에 문의,02-2658-4129,,,스트레칭,등촌9복지관,15명,등촌9복지관,,목 15:10~16:40
35,,헬스(공항동주민센터),강서,서울특별시 강서구 송정로 45,37.55878281,126.8100743,지자체에 문의,02-2600-7935,,,헬스,공항동주민센터,25명,공항동주민센터,,"목, 금 10:00~11:20/ 수 14:00~15:00"
36,,헬스(염창동주민센터),강서,서울특별시 강서구 양천로67가길 63,37.55377136,126.8709657,지자체에 문의,02-2600-7306,,,헬스,염창동주민센터,16명,염창동주민센터,,월10:00~11:00 / 수 10:00~11:20 / 금14:00~15:00
37,,헬스(우장산동주민센터),강서,서울특별시 강서구 우현로 34,37.54828859,126.8418363,지자체에 문의,02-2600-7732,,,헬스,우장산동주민센터,10명,우장산동주민센터,,"화, 금 15:00~16:00"
38,,헬스(등촌2동주민센터),강서,서울특별시 강서구 등촌로143,37.54265827,126.8625035,지자체에 문의,02-2600-7386,,,헬스,등촌2동주민센터,10명,등촌2동주민센터,,화 10:00~11:00
39,,특수체육(늘푸른나무복지관),강서,서울특별시 강서구 허준로5길 37,37.56853632,126.8511172,지자체에 문의,02-3661-3401,,,특수체육,늘푸른나무복지관,10명,늘푸른나무복지관,www.egreedn.or.kr,목 09:50~11:30
40,,특수체육(그라나다보호작업센터),강서,서울특별시 강서구 허준로5길 37 늘푸른나무 복지관,37.56853632,126.8511172,지자체에 문의,02-3661-3402,,,특수체육,그라나다보호작업센터,30명,그라나다보호작업센터,www.granada.or.kr,화 09:20~11:00
41,,헬스(등촌2동주민센터헬스장),강서,서울특별시 강서구 등촌로 143,37.54265827,126.8625035,지자체에 문의,02-2600-7395,,,헬스,등촌2동주민센터헬스장,10명,등촌2동주민센터,,월 10:00~10:40 / 수 09:30~10:40 / 수 10:40~11:50
42,,헬스(가양3동주민센터),강서,서울특별시 강서구 허준로 202,37.56108697,126.8605577,지자체에 문의,02-2600-7865,,,헬스,가양3동주민센터,20명,가양3동주민센터,,목 14:00~15:00
44,,헬스(우장산주민센터),강서,서울특별시 강서구 우현로 34?,37.54828859,126.8418363,지자체에 문의,02-2600-7745,,,헬스,우장산주민센터,20명,우장산주민센터,,수10:00~11:20 / 금10:00~11:20
45,,헬스(가양2동주민센터),강서,서울특별시 강서구 허준로 93,37.56739892,126.8512712,지자체에 문의,02-2600-7825,,,헬스,가양2동주민센터,20명,가양2동주민센터,,화 14:00~15:00
46,,헬스(등촌3동주민센터),강서,서울특별시?강서구 화곡로63길 96 등,37.55888771,126.8479185,지자체에 문의,02-2600-7445,,,헬스,등촌3동주민센터,20명,등촌3동주민센터,,월 14:00~15:20 / 목 10:00~11:20
48,,보디빌딩(화곡6동주민센터),강서,서울특별시 강서구 화곡로312,37.55181666,126.8500765,지자체에 문의,02-26007646,,,보디빌딩,화곡6동주민센터,20명,화곡6동주민센터,,금 10:00~11:20
49,,보디빌딩(화곡3동주민센터),강서,서울특별시 강서구 강서로33가길 17,37.54252631,126.8384139,지자체에 문의,02-2600-7565,,,보디빌딩,화곡3동주민센터,20명,화곡3동주민센터,,수 15:00~16:30
50,,보디빌딩(화곡4동주민센터),강서,서울특별시 강서구 곰달래로57가길26,37.53480238,126.8607489,지자체에 문의,02-2600-7604,,,보디빌딩,화곡4동주민센터,20명,화곡4동주민센터,,수 10:00~11:20
51,,"요가,헬스(화곡6동주민센터)",강서,서울특별시 강서구 화곡로312,37.55181666,126.8500765,지자체에 문의,02-2600-7665,,,"요가,헬스",화곡6동주민센터,20명,화곡6동주민센터,,화 09:40~11:10
52,,"요가,헬스(우장산동주민센터)",강서,서울특별시 강서구 우현로 34,37.54828859,126.8418363,지자체에 문의,02-2600-7745,,,"요가,헬스",우장산동주민센터,20명,우장산동주민센터,,"월, 금 09:40~11:20"
53,,뉴스포츠(기쁜우리복지관 지하1층),강서,서울특별시 강서구 허준로65,37.56927822,126.8488644,지자체에 문의,02-3665-3831,,,뉴스포츠,기쁜우리복지관 지하1층,10명,기쁜우리복지관,http://www.gibbun.or.kr,목 10:30~11:30
54,,족구(해누리족구장),양천,서울 양천구 안양천로 711,37.5115265,126.872374,지자체에 문의,,,,족구,해누리족구장,15명,양천구족구협회,,"화, 목 10:30~11:30"
55,,헬스&근력운동(G.X)(신월4동주민센터),양천,서울특별시 양천구 오목로5길 34,37.52469581,126.8400811,지자체에 문의,2620-4115,,,헬스&근력운동(G.X),신월4동주민센터,20명,신월4동주민센터,https://www.yangcheon.go.kr/dong/sinwol04/main.do,화 10:00~11:30 / 목 10:00~11:30
56,,헬스&근력운동(G.X)(목4동주민센터),양천,서울특별시 양천구 목동중앙로25(목동),37.53243314,126.8683948,지자체에 문의,2620-4000,,,헬스&근력운동(G.X),목4동주민센터,20명,목4동주민센터,https://www.yangcheon.go.kr/dong/mok04/main.do,수 10:00~11:30 / 금 10:00~11:30
57,,탁구(한빛종합사회복지관),양천,서울특별시 양천구 신월로11길 16,37.51907402,126.8402256,지자체에 문의,02-2690-8762,,,탁구,한빛종합사회복지관,15명,한빛종합사회복지관,http://www.han-bit.or.kr/,수 14:00~14:40 / 금 14:00~14:40 / 금 14:50~15:30
59,,탁구(목동종합사회복지관),양천,서울특별시 양천구 목동중앙북로8길104,37.54424009,126.8663764,지자체에 문의,02-2651-2333,,,탁구,목동종합사회복지관,15명,목동종합사회복지관,http://sseoul.or.kr/,금 16:00~16:40 / 금 16:50~17:30
61,,탁구(신정종합사회복지관),양천,서울특별시 양천구 신정중앙로 36,37.52730285,126.8555308,지자체에 문의,02-2651-2332,,,탁구,신정종합사회복지관,15명,신정종합사회복지관,http://sseoul.or.kr/,"월, 수16:00~16:40 / 월, 수 16:50~17:30"
66,,탁구(목동종합사회복지관),양천,서울특별시 양천구 목동중앙북로8길 104,37.54424009,126.8663764,지자체에 문의,02-2651-2333,,,탁구,목동종합사회복지관,15명,목동종합사회복지관,http://sseoul.or.kr/,월 14:00~14:40 / 월 14:50~15:30
68,,생활체조(아현건강증진센터),마포,서울특별시 마포구 마포대로11길 44-81,37.55212686,126.9512971,지자체에 문의,02-3153-9882,,,생활체조,아현건강증진센터,15명,아현건강증진센터,,월 13:30~14:30 / 수 13:30~14:30
70,,뉴스포츠(북아현방과후교실),서대문,서울특별시 서대문구 충정로 52,37.56335057,126.9658861,지자체에 문의,02-364-3462,,,뉴스포츠,북아현방과후교실,25,북아현방과후교실,,"월, 수, 금 15:00~16:20"
71,,헬스(홍제천 일대),서대문,서울 서대문구 연희동 170-181,37.5798169,126.9356641,지자체에 문의,02-335-7330,,,헬스,홍제천 일대,20,서대문구,,"월, 화, 수, 목 09:00~10:30/ 월, 수 14:00~15:30 / 금 14:00~15:30"
80,,경춘선 숲길 걷기 수업(경춘선숲길),노원,서울특별시 노원구 동일로198가길 149,37.63039111,127.0670364,지자체에 문의,,,,경춘선 숲길 걷기 수업,경춘선숲길,15,노원구민,,"월, 수 10:00~10:45, 10:45~11:30 / 목 10:00~10:40, 10:40~11:20 / 금 10:00~10:40, 10:40~11:20"
84,,경춘선 숲길 걷기 수업(경춘선 숲길),노원,서울특별시 노원구 동일로198가길 149,37.63039111,127.0670364,지자체에 문의,,,,경춘선 숲길 걷기 수업,경춘선 숲길,20,노원구민,,"월, 금 10:00~10:40 / 월, 금 10:40~11:20"
92,,학교체육(월계복지관),노원,서울특별시 노원구 초안산로 1길 51,37.62724445,127.0527656,지자체에 문의,,,,학교체육,월계복지관,8,월계복지관,,목 16:50~17:30
93,,헬스(오동생활체육공원),강북,서울특별시 강북구 오패산로52라길 149,37.62080086,127.0344901,지자체에 문의,02-989-3422,,,헬스,오동생활체육공원,15,오동생활체육관,,"월, 수, 금 15:00~16:30"
94,,축구(강북구민운동장),강북,서울특별시 강북구 오현로 187-25,37.62942638,127.0379894,지자체에 문의,,,,축구,강북구민운동장,35명,수유시장상인회축구동아리,,수 13:40~16:00
95,,생활체조(래미안라센트아파트),성북,서울특별시 성북구 종암로24가길 80,37.59931367,127.0392269,지자체에 문의,02-917-1426,,,생활체조,래미안라센트아파트,20명,래미안라센트아파트,,목 10:00~10:45
96,,걷기운동(북한산둘레길),성북,서울특별시 성북구 솔샘로25길 121-50,37.62095698,127.0068831,지자체에 문의,02-3676-7330,,,걷기운동,북한산둘레길,30명,북한산둘레길,,수 10:00~11:50
97,,걷기운동(성북동성곽길),성북,서울특별시 성북구,37.58935882,127.0167029,지자체에 문의,,,,걷기운동,성북동성곽길,30명,성북동성곽길,,월 10:00~11:50
98,,걷기운동(북서울꿈의숲),성북,서울특별시 강북구 월계로 173,37.62025446,127.0443247,지자체에 문의,02-3676-7330,,,걷기운동,북서울꿈의숲,30명,북서울꿈의숲,,금 10:00~11:50
101,,생활체조(성북구보건소),성북,서울특별시 성북구 화랑로 63,37.60271066,127.0395333,지자체에 문의,,,,생활체조,성북구보건소,50명,성북구보건소,http://www.sb.go.kr/bogunso/main.do,"화, 목 15:50~17:10"
102,,생활체조(정릉 e편한세상아파트),성북,서울특별시 성북구 북악산로 851,37.60025102,127.0183154,지자체에 문의,02-914-1871,,,생활체조,정릉 e편한세상아파트,20명,정릉e편한세상아파트,,금 10:00~10:50
103,,생활체조(성북구보건소),성북,서울특별시 성북구 화랑로63,37.60271066,127.0395333,지자체에 문의,02-2241-1749,,,생활체조,성북구보건소,30명,성북구보건소,www.sb.go.kr/bogunso/main.do,"월, 수 15:50~16:30 / 월, 수 16:30~17:10"
105,,걷기(성북동 성곽길),성북,서울특별시 종로구 창경궁로307 성북동 성곽길 혜화문,37.58796215,127.003505,지자체에 문의,,,,걷기,성북동 성곽길,30명,성북구체육회,,월 10:00~11:00 / 월 11:00~12:00
107,,걷기(북서울꿈의숲),성북,서울특별시 강북구 월계로 173,37.62025446,127.0443247,지자체에 문의,02-3676-7330,,,걷기,북서울꿈의숲,30명,북서울꿈의숲,,금 10:00~11:20
108,,생활체조(돈암코오롱아파트),성북,서울특별시 성북구 아리랑로 75,37.59883026,127.0136255,지자체에 문의,010-8331-9352,,,생활체조,돈암코오롱아파트,20명,돈암코오롱아파트,,목 10:00~10:40
109,,근력운동(석관두산아파트),성북,서울특별시 성북구 화랑로48길16,37.61376289,127.0689946,지자체에 문의,,,,근력운동,석관두산아파트,20명,성북구보건소,,목 10:00~10:45
110,,걷기(북한산둘레길),성북,서울특별시 성북구 삼선교로 30-1,37.58795905,127.009126,지자체에 문의,02-3676-7330,,,걷기,북한산둘레길,30명,성북구체육회,,수 10:00~11:30
111,,걷기(북서울꿈의숲),성북,서울특별시 성북구 삼선교로 30-1,37.58795905,127.009126,지자체에 문의,02-36767-7330,,,걷기,북서울꿈의숲,30명,성북구체육회,http://www.sportssb.or.kr/,금 10:00~11:30
112,,밴드운동(꿈의숲코오롱하늘채아파트),성북,서울특별시 성북구 돌곶이로 220,37.61901822,127.0464327,지자체에 문의,010-3499-7854,,,밴드운동,꿈의숲코오롱하늘채아파트,30명,꿈의숲코오롱하늘채아파트,,수 10:00~10:45
113,,걷기(성북동성곽길),성북,서울특별시 성북구 삼선교로 30-1,37.58795905,127.009126,지자체에 문의,02-36767-7330,,,걷기,성북동성곽길,30명,성북구체육회,http://www.sportssb.or.kr/,월 10:00~11:30
114,,생활체조(돈암2동주민센터 다목적홀),성북,서울특별시 성북구 흥천사길 7,37.59801698,127.010539,지자체에 문의,010-9897-5422,,,생활체조,돈암2동주민센터 다목적홀,30명,돈암2동주민센터 다목적홀,,목 15:00~16:20
115,,생활체조(안암동주민센터 다목적홀),성북,서울특별시 성북구 고려대로16,37.58582076,127.0213756,지자체에 문의,010-4266-8991,,,생활체조,안암동주민센터 다목적홀,30명,안암동주민센터 다목적홀,,수 13:30~14:50
116,,배드민턴(용두문화복지센터 (체육관)),동대문,서울특별시 동대문구 고산자로28길 13,37.57532359,127.0391728,지자체에 문의,02-6929-2647,,,배드민턴,용두문화복지센터 (체육관),15명,용두문화복지센터,,"화, 목 10:00~11:30"
117,,배드민턴(광장동실내배드민턴장),광진,서울 광진구 천호대로140길 40,37.54442528,127.1001957,지자체에 문의,02-458-9062,,,배드민턴,광장동실내배드민턴장,15명,광장동실내배드민턴장,,"화,목 13:00~14:00 / 화, 목 14:00~15:00"
119,,헬스(광진구보건소운동교육실),광진,서울특별시 광진구 자양로117,37.53853161,127.0819098,지자체에 문의,02-450-1300,,,헬스,광진구보건소운동교육실,20명,광진구보건소,,"화, 수 09:30~10:10 / 화, 수 10:30~11:10"
121,,헬스(광진구청 보건소체력단련실),광진,서울특별시 자양로117 보건소2층,37.53853161,127.0819098,지자체에 문의,02-450-1586,,,헬스,광진구청 보건소체력단련실,10명,광진구청 보건소체력단련실,,목 09:30~10:30 / 목 10:30~11:30
123,,라인댄스(주민센터3층체육관),광진,서울특별시 광진구 광나루로36길56,37.54241324,127.0856773,지자체에 문의,02-450-1506,,,라인댄스,주민센터3층체육관,20명,구의1동주민센터,,금 10:20~11:00
124,,리듬댄스(주민센터3층체육관),광진,서울특별시 광진구 광나루로36길56,37.54241324,127.0856773,지자체에 문의,02-450-1506,,,리듬댄스,주민센터3층체육관,20명,구의1동주민센터,,금 09:40~10:20
125,,라인댄스(주민센터3층체육관),광진,서울특별시 광진구 능동로 17길39,37.54652678,127.0712676,지자체에 문의,02-450-1515,,,라인댄스,주민센터3층체육관,15명,화양동주민센터,,목 11:50~12:30
126,,리듬댄스(주민센터3층체육관),광진,서울특별시 광진구 능동로 17길39,37.54652678,127.0712676,지자체에 문의,02-450-1515,,,리듬댄스,주민센터3층체육관,15며,화양동주민센터,,목 11:00~11:40
127,,라인댄스(주민센터3층체육관),광진,서울특별시 광진구 자양로3가길,37.52896132,127.0847812,지자체에 문의,02-450-1511,,,라인댄스,주민센터3층체육관,15명,자양2동주민센터,,화 14:50~15:30
128,,리듬댄스(주민센터3층체육관),광진,서울특별시 광진구 자양로3가길,37.52896132,127.0847812,지자체에 문의,02-450-1511,,,리듬댄스,주민센터3층체육관,15명,자양2동주민센터,,화 14:00~14:40
129,,헬스(보건소 체력단련장),광진,서울특별시 광진구 자양로117,37.53853161,127.0819098,지자체에 문의,02-450-1422,,,헬스,보건소 체력단련장,20명,광진구보건소,www.gwangjin.go.kr/health/main/main.do,수 09:20~10:00
130,,배드민턴(광장복지관),광진,서울특별시 광진구 아차산로66길 8,37.54103356,127.0970671,지자체에 문의,02-2201-1333,,,배드민턴,광장복지관,20명,광장복지관,,화 16:10~17:00
131,,요가(광장복지관),광진,서울특별시 광진구 아차산로66길 8,37.54103356,127.0970671,지자체에 문의,02-2201-1333,,,요가,광장복지관,20명,광장복지관,,화 15:30~16:10
132,,축구(성동구민종합체육센터),성동,서울특별시 성동구 왕십리로 89,37.54584153,127.044028,지자체에 문의,02-2204-7617,,,축구,성동구민종합체육센터,20명,성동구민종합체육센터,https://www.happysd.or.kr/index.do,"화, 목 16:00~17:00"
133,,요가(구립장애인주간보호센터),용산,서울특별시 용산구 한강대로 331 3층,37.54790166,126.9714991,지자체에 문의,02-701-4282,,,요가,구립장애인주간보호센터,20명,구립장애인주간보호센터,https://happylog.naver.com/hlog/yongsan4282/home,목 14:30~15:10 / 금 14:30~15:10
134,,요가(구립용산장애인복지관),용산,서울특별시 용산구 효창원로 93길 49,37.54730707,126.961569,지자체에 문의,070-4657-2018,,,요가,구립용산장애인복지관,20명,구립용산장애인복지관,http://www.ysrehab.or.kr/,월 12:50~14:20 / 목 13:00~13:40
135,,요가(효창주민센터),용산,서울특별시 용산구 효창원로 161 효창주민센터 5층 대강당,37.54250834,126.9618379,지자체에 문의,010-4164-4170,,,요가,효창주민센터,20명,햇빛자리주간보호시설,없음,월 11:00~11:50 / 수 11:00~11:50
136,,스트레칭(효창종합사회복지관),용산,서울특별시 용산구 효창동 5-65,37.54118506,126.9630008,지자체에 문의,,,,스트레칭,효창종합사회복지관,30명,효창종합사회복지관,https://www.hyochang.or.kr:6017/,"월, 수, 금 09:30~12:00"
137,,테라밴드(효창종합사회복지관),용산,서울특별시 용산구 효창동 5-65,37.54118506,126.9630008,지자체에 문의,,,,테라밴드,효창종합사회복지관,30명,효창종합사회복지관,https://www.hyochang.or.kr:6017/,목 09:30~12:00
139,,덤벨체조(효창종합사회복지관),용산,서울특별시 용산구 효창동 5-65,37.54118506,126.9630008,지자체에 문의,,,,덤벨체조,효창종합사회복지관,30명,효창종합사회복지관,https://www.hyochang.or.kr:6017/,화 09:30~12:00
141,,스트레칭(세라밴드)(필동주민센터),중구,서울특별시 중구 퇴계로36길 42,37.56015769,126.9955974,지자체에 문의,02-3396-6594,,,스트레칭(세라밴드),필동주민센터,20명,필동주민센터,https://www.junggu.seoul.kr/dong/pil/main.do,목 14:00~14:40
142,,스트레칭(세라밴드)(필동주민센터 2층),중구,서울특별시 중구 퇴계로36길 42,37.56015769,126.9955974,지자체에 문의,02-3396-6594,,,스트레칭(세라밴드),필동주민센터 2층,20명,필동주민센터,https://www.junggu.seoul.kr/dong/pil/main.do,화 14:00~14:40
143,,스트레칭(세라밴드)(장충체육관),중구,서울특별시 중구 동호로 241,37.55864066,127.0066775,지자체에 문의,02-2128-2814,,,스트레칭(세라밴드),장충체육관,15명,장충체육관,https://www.sisul.or.kr/open_content/jangchung/,화 10:00~10:50
144,,스트레칭(세라밴드)(황학동주민센터),중구,서울특별시 중구 난계로11길 52,37.56742273,127.0213823,지자체에 문의,02-3396-6893,,,스트레칭(세라밴드),황학동주민센터,15명,황학동주민센터,https://www.junggu.seoul.kr/dong/hwanghak/main.do,월 10:30~11:30
145,,"헬스, 근력운동(황학동주민센터)",중구,서울특별시 중구 난계로11길 52,37.56742273,127.0213823,지자체에 문의,02-3396-6907,,,"헬스, 근력운동",황학동주민센터,20명,황학동주민센터,,"수, 금 10:30~11:30"
146,,학교체육(중구모든아이손기정센터),중구,서울특별시 중구 손기정로 101,37.5554795,126.9648157,지자체에 문의,,,,학교체육,중구모든아이손기정센터,20명,중구모든아이손기정센터,,금 15:25~17:40
147,,학교체육(중구모든아이중림센터),중구,서울특별시 중구 서소문로6길 16,37.55943026,126.9662595,지자체에 문의,,,,학교체육,중구모든아이중림센터,20명,중구모든아이중림센터,,목 14:50~17:20
148,,헬스(다산동주민센터),중구,서울특별시 중구 동호로 15길50,37.55433289,127.0082945,지자체에 문의,02-3396-6740,,,헬스,다산동주민센터,15명,다산동주민센터,http://www.junggu.seoul.kr/dong/dasan/main.do,"화, 목 14:00~14:40"
149,,헬스(청구동주민센터),중구,서울특별시 중구 청구로 3길 55,37.55706761,127.0146854,지자체에 문의,02-3396-6800,,,헬스,청구동주민센터,15명,청구동주민센터,http://www.junggu.seoul.kr/dong/cheonggu/main.do,"화, 목 10:00~10:40"
152,,에어로빅(훈련원공원종합체육관),중구,서울특별시 중구 을지로227 훈련원공원 내,37.56692913,127.0043893,지자체에 문의,02-2280-8394,,,에어로빅,훈련원공원종합체육관,14명,중구시설관리공단,http://www.e-junggu.or.kr/,"월, 수, 금 10:10~11:00"
154,,탁구(대청종합복지관),강남,서울 강남구 양재대로55길 10,37.49315404,127.0909914,지자체에 문의,02-469-6882,,,탁구,대청종합복지관,20명,대청종합복지관,http://www.daechung.or.kr/main/main.php,월 16:00~16:40 / 월 16:40~17:20
156,,생활체육(강당),서초,서울 서초구 강남대로65길 19,37.49983877,127.0239978,지자체에 문의,02-540-6500,,,생활체육,강당,15명,사랑의복지관,http://www.esarang.org/,월 14:30~15:30
157,,특수체육(강당),서초,서울시 서초구 강남대로65길 19,37.49983877,127.0239978,지자체에 문의,02-540-6500,,,특수체육,강당,10명,사랑의 복지관,http://www.esarang.org,화 11:00~11:50
158,,특수체육(강당),서초,서초구 남부순환로 340길 15,37.48205213,127.0250125,지자체에 문의,02-2055-0909,,,특수체육,강당,15명,한우리정보문화센터,,금 10:00~12:00
159,,특수체육(강당),서초,서초구 헌릉로8길 42 ,37.45411333,127.0614366,지자체에 문의,02-455-4892,,,특수체육,강당,15명,다니엘복지원,,화 13:10~15:10
160,,헬스(내곡열린문화센터),서초,서울 서초구 청계산로 15길 77,37.44935828,127.0583143,지자체에 문의,02-2155-7951,,,헬스,내곡열린문화센터,20명,내곡동주민센터,,"월,수 10:00~12:00"
161,,각 종 뉴스포츠(비상청소년사회복귀시설),관악,관악구 남부순환로 2054,37.47633698,126.9769252,지자체에 문의,070-4200-4401,,,각 종 뉴스포츠,비상청소년사회복귀시설,20명,비상청소년사회복귀시설,http://www.visang.or.kr/,화 13:30~14:10 / 화 14:10~14:50
166,,"스트레칭,생활체조(영인구립경로당)",영등포,서울특별시 영등포구 도림로58길 11,37.49607398,126.9027391,지자체에 문의,,,,"스트레칭,생활체조",영인구립경로당,20명,영인구립경로당,,"목, 14:00~14:40"
167,,헬스(대림1동 주민자치센터),영등포,영등포구 디지털로 441 대림제1동 사무소 체육관3층,37.49545723,126.905842,지자체에 문의,02-2670-1379,,,헬스,대림1동 주민자치센터,20명,대림1동 주민자치센터,,"수, 09:50~11:10"
168,,헬스(양평동주민복지회관),영등포,서울 영등포구 선유서로 34길 10 4층,37.5268695,126.8874353,지자체에 문의,,,,헬스,양평동주민복지회관,20명,양평동주민복지회관,,"월, 09:50~11:10 수 10:00~11:20"
169,,축구(금천구청 환경미화원),금천,서울시 금천구 독산동 1086,37.46367414,126.8841434,지자체에 문의,02-2627-2375,,,축구,금천구청 환경미화원,25,금천구청 환경미화원,https://www.geumcheon.go.kr/,수 16:00~18:00
170,,뉴스포츠(구로종합사회복지관),구로,구로구 디지털로31길 93,37.48682339,126.8908274,지자체에 문의,02-852-0525,,,뉴스포츠,구로종합사회복지관,20명,구로종합사회복지관,https://9ro.or.kr/,금 16:00~16:40
171,,체육(화원종합사회복지관방과후교실),구로,구로구 벚꽃로 484,37.49733165,126.8801354,지자체에 문의,02-837-0761,,,체육,화원종합사회복지관방과후교실,40명,화원종합사회복지관방과후교실,http://www.hwawon.org/,목 14:40~16:10
