category_id,name,district,address,latitude,longitude,work_time,price,phone_number,image_url,page_url,description,장소,참가규모(명),수혜기관명,기관 홈페이지
,헬스(대림1동 주민자치센터),영등포,서울특별시 영등포구 디지털로 441 대림제1동 사무소 체육관3층,37.49545723,126.905842,수 09:50~10:30,지자체에 문의,02-2670-1379,,,헬스,대림1동 주민자치센터,20명,대림1동 주민자치센터,
,"헬스,필라테스(대림1동 주민자치센터)",영등포,서울특별시 영등포구 디지털로 441 대림제1동 사무소 체육관3층,37.49545723,126.905842,월 09:50~10:30,지자체에 문의,02-2670-1379,,,"헬스,필라테스",대림1동 주민자치센터,15명,대림1동 주민자치센터,
,배구(구로구민체육센터),구로,서울특별시 구로구 고척로45길 39,37.50658124,126.8532759,"월,수,금 10:00~12:00",지자체에 문의,02-2681-9595,,,배구,구로구민체육센터,20명,구로구민체육센터,https://www.gurosisul.or.kr/mod.asp?m=business&s=b01
,배구(구로구민체육센터),구로,서울특별시 구로구 고척로45길 39,37.50658124,126.8532759,"월,수,금 10:00~12:00",지자체에 문의,02-2681-9595,,,배구,구로구민체육센터,20명,구로구민체육센터,https://www.gurosisul.or.kr/mod.asp?m=business&s=b01
,헬스(G밸리보건지소),구로,"서울특별시 구로구 디지털로 243, 213호(구로동, 지하이시티)",37.48199214,126.8923489,"화,목 10:00~11:30",지자체에 문의,02)860-8174,,,헬스,G밸리보건지소,120명,G밸리보건지소,https://pf.kakao.com/_XJaxdK
,특수체육(기쁜우리복지관),강서,서울특별시 강서구 허준로65,37.56927822,126.8488644,화 10:30~11:20,지자체에 문의,02-3665-3831,,,특수체육,기쁜우리복지관,20,기쁜우리복지관,
,스트레칭(우장산동주민센터),강서,서울특별시 강서구 우현로 34,37.54828859,126.8418363,금 14:00~14:50,지자체에 문의,02-2600-7745,,,스트레칭,우장산동주민센터,15,우장산동주민센터,
,스트레칭(가양2동주민센터),강서,서울특별시 강서구 허준로 93,37.56739892,126.8512712,금 10:00~10:50,지자체에 문의,02-2600-7808,,,스트레칭,가양2동주민센터,15,가양2동주민센터,
,스트레칭(등촌9복지관),강서,서울특별시 강서구 화곡로63가길 92-(등촌3동 704) 주공9단지,37.5619516,126.8502091,목 15:10~16:40,지자체에 문의,02-2658-4129,,,스트레칭,등촌9복지관,15명,등촌9복지관,
,헬스(공항동주민센터),강서,서울특별시 강서구 송정로 45,37.55878281,126.8100743,"목,금 10:00~11:20",지자체에 문의,02-2600-7935,,,헬스,공항동주민센터,25명,공항동주민센터,
,헬스(염창동주민센터),강서,서울특별시 강서구 양천로67가길 63,37.55377136,126.8709657,수 10:00~11:20,지자체에 문의,02-2600-7306,,,헬스,염창동주민센터,16명,염창동주민센터,
,헬스(우장산동주민센터),강서,서울특별시 강서구 우현로 34,37.54828859,126.8418363,"화,금 15:00~16:00",지자체에 문의,02-2600-7732,,,헬스,우장산동주민센터,10명,우장산동주민센터,
,헬스(등촌2동주민센터),강서,서울특별시 강서구 등촌로143,37.54265827,126.8625035,화 10:00~11:00,지자체에 문의,02-2600-7386,,,헬스,등촌2동주민센터,10명,등촌2동주민센터,
,특수체육(늘푸른나무복지관),강서,서울특별시 강서구 허준로5길 37,37.56853632,126.8511172,목 09:50~11:30,지자체에 문의,02-3661-3401,,,특수체육,늘푸른나무복지관,10명,늘푸른나무복지관,www.egreedn.or.kr
,특수체육(그라나다보호작업센터),강서,서울특별시 강서구 허준로5길 37 늘푸른나무 복지관,37.56853632,126.8511172,화 09:20~11:00,지자체에 문의,02-3661-3402,,,특수체육,그라나다보호작업센터,30명,그라나다보호작업센터,www.granada.or.kr
,헬스(등촌2동주민센터헬스장),강서,서울특별시 강서구 등촌로 143,37.54265827,126.8625035,월 10:00~10:40/수 09:30~10:40/10:40~11:50,지자체에 문의,02-2600-7395,,,헬스,등촌2동주민센터헬스장,10명,등촌2동주민센터,
,헬스(가양3동주민센터),강서,서울특별시 강서구 허준로 202,37.56108697,126.8605577,목 14:00~15:00,지자체에 문의,02-2600-7865,,,헬스,가양3동주민센터,20명,가양3동주민센터,
,헬스(공항동주민센터),강서,서울특별시 강서구 송정로 45,37.55878281,126.8100743,수14:00~15:00,지자체에 문의,02-2600-7935,,,헬스,공항동주민센터,20명,공항동주민센터,
,헬스(우장산주민센터),강서,서울특별시 강서구 우현로 34?,37.54828859,126.8418363,수10:00~11:20금10;00~11:20,지자체에 문의,02-2600-7745,,,헬스,우장산주민센터,20명,우장산주민센터,
,헬스(가양2동주민센터),강서,서울특별시 강서구 허준로 93,37.56739892,126.8512712,화 14:00~15:00,지자체에 문의,02-2600-7825,,,헬스,가양2동주민센터,20명,가양2동주민센터,
,헬스(등촌3동주민센터),강서,서울특별시?강서구 화곡로63길 96 등,37.55888771,126.8479185,월 14:00~15:20/목 10:00~11:20,지자체에 문의,02-2600-7445,,,헬스,등촌3동주민센터,20명,등촌3동주민센터,
,헬스(염창동주민센터),강서,서울특별시 강서구 양천로67가길 63,37.55377136,126.8709657,월10:00~11:00/금14:00~15:00,지자체에 문의,02-2600-7335,,,헬스,염창동주민센터,20명,염창동주민센터,
,보디빌딩(화곡6동주민센터),강서,서울특별시 강서구 화곡로312,37.55181666,126.8500765,금 10:00~11:20,지자체에 문의,02-26007646,,,보디빌딩,화곡6동주민센터,20명,화곡6동주민센터,
,보디빌딩(화곡3동주민센터),강서,서울특별시 강서구 강서로33가길 17,37.54252631,126.8384139,수 15:00~16:30,지자체에 문의,02-2600-7565,,,보디빌딩,화곡3동주민센터,20명,화곡3동주민센터,
,보디빌딩(화곡4동주민센터),강서,서울특별시 강서구 곰달래로57가길26,37.53480238,126.8607489,수 10:00~11:20,지자체에 문의,02-2600-7604,,,보디빌딩,화곡4동주민센터,20명,화곡4동주민센터,
,"요가,헬스(화곡6동주민센터)",강서,서울특별시 강서구 화곡로312,37.55181666,126.8500765,화 09:40~11:10,지자체에 문의,02-2600-7665,,,"요가,헬스",화곡6동주민센터,20명,화곡6동주민센터,
,"요가,헬스(우장산동주민센터)",강서,서울특별시 강서구 우현로 34,37.54828859,126.8418363,"월,금 09:40~11:20",지자체에 문의,02-2600-7745,,,"요가,헬스",우장산동주민센터,20명,우장산동주민센터,
,뉴스포츠(기쁜우리복지관 지하1층),강서,서울특별시 강서구 허준로65,37.56927822,126.8488644,목 10:30~11:30,지자체에 문의,02-3665-3831,,,뉴스포츠,기쁜우리복지관 지하1층,10명,기쁜우리복지관,http://www.gibbun.or.kr
,족구(해누리족구장),양천,서울 양천구 안양천로 711,37.5115265,126.872374,"화, 목 10:30~11:30",지자체에 문의,,,,족구,해누리족구장,15명,양천구족구협회,
,헬스&근력운동(G.X)(신월4동주민센터),양천,서울특별시 양천구 오목로5길 34,37.52469581,126.8400811,"화10:00~11:30, 목 10:00~11:30",지자체에 문의,2620-4115,,,헬스&근력운동(G.X),신월4동주민센터,20명,신월4동주민센터,https://www.yangcheon.go.kr/dong/sinwol04/main.do
,헬스&근력운동(G.X)(목4동주민센터),양천,서울특별시 양천구 목동중앙로25(목동),37.53243314,126.8683948,"수 10:00~11:30, 금 10:00~11:30",지자체에 문의,2620-4000,,,헬스&근력운동(G.X),목4동주민센터,20명,목4동주민센터,https://www.yangcheon.go.kr/dong/mok04/main.do
,탁구(한빛종합사회복지관),양천,서울특별시 양천구 신월로11길 16,37.51907402,126.8402256,금 14:50~15:30,지자체에 문의,02-2690-8762,,,탁구,한빛종합사회복지관,15명,한빛종합사회복지관,http://www.han-bit.or.kr/
,탁구(한빛종합사회복지관),양천,서울특별시 양천구 신월로11길 16,37.51907402,126.8402256,금 14:00~14:40,지자체에 문의,02-2690-8762,,,탁구,한빛종합사회복지관,15명,한빛종합사회복지관,http://www.han-bit.or.kr/
,탁구(목동종합사회복지관),양천,서울특별시 양천구 목동중앙북로8길104,37.54424009,126.8663764,금 16:50~17:30,지자체에 문의,02-2651-2333,,,탁구,목동종합사회복지관,15명,목동종합사회복지관,http://sseoul.or.kr/
,탁구(목동종합사회복지관),양천,서울특별시 양천구 목동중앙북로8길104,37.54424009,126.8663764,금 16:00~16:40,지자체에 문의,02-2651-2332,,,탁구,목동종합사회복지관,15명,목동종합사회복지관,http://sseoul.or.kr/
,탁구(신정종합사회복지관),양천,서울특별시 양천구 신정중앙로 36,37.52730285,126.8555308,수 16:50~17:30,지자체에 문의,02-2651-2332,,,탁구,신정종합사회복지관,15명,신정종합사회복지관,http://sseoul.or.kr/
,탁구(신정종합사회복지관),양천,서울특별시 양천구 신정중앙로 36,37.52730285,126.8555308,수 16:00~16:40,지자체에 문의,02-2651-2332,,,탁구,신정종합사회복지관,15명,신정종합사회복지관,http://sseoul.or.kr/
,탁구(한빛종합사회복지관),양천,서울특별시 양천구 신월로11길 16,37.51907402,126.8402256,수 14:00~14:40,지자체에 문의,02-2690-8762,,,탁구,한빛종합사회복지관,15명,한빛종합사회복지관,http://www.han-bit.or.kr/
,탁구(신정종합사회복지관),양천,서울특별시 양천구 신정중앙로 36,37.52730285,126.8555308,월 16:50~17:30,지자체에 문의,02-2651-2332,,,탁구,신정종합사회복지관,15명,신정종합사회복지관,http://sseoul.or.kr/
,탁구(신정종합사회복지관),양천,서울특별시 양천구 신정중앙로 36,37.52730285,126.8555308,월 16:00~16:40,지자체에 문의,02-2651-2332,,,탁구,신정종합사회복지관,15명,신정종합사회복지관,http://sseoul.or.kr/
,탁구(목동종합사회복지관),양천,서울특별시 양천구 목동중앙북로8길 104,37.54424009,126.8663764,월 14:50~15:30,지자체에 문의,02-2651-2333,,,탁구,목동종합사회복지관,15명,목동종합사회복지관,http://sseoul.or.kr/
,탁구(목동종합사회복지관),양천,서울특별시 양천구 목동중앙북로8길 104,37.54424009,126.8663764,월 14:00~14:40,지자체에 문의,02-2651-2333,,,탁구,목동종합사회복지관,15명,목동종합사회복지관,http://sseoul.or.kr/
,생활체조(아현건강증진센터),마포,서울특별시 마포구 마포대로11길 44-81,37.55212686,126.9512971,수 13:30~14:30,지자체에 문의,02-3153-9882,,,생활체조,아현건강증진센터,15명,아현건강증진센터,
,생활체조(아현건강증진센터),마포,서울특별시 마포구 마포대로11길 44-81,37.55212686,126.9512971,월 13:30~14:30,지자체에 문의,02-3153-9882,,,생활체조,아현건강증진센터,15명,아현건강증진센터,
,뉴스포츠(북아현방과후교실),서대문,서울특별시 서대문구 충정로 52,37.56335057,126.9658861,금 15:00~16:20,지자체에 문의,02-364-3462,,,뉴스포츠,북아현방과후교실,25,북아현방과후교실,
,헬스(홍제천 일대),서대문,서울 서대문구 연희동 170-181,37.5798169,126.9356641,목 09:00~10:30,지자체에 문의,02-335-7330,,,헬스,홍제천 일대,20,서대문구,
,헬스(홍제천 일대),서대문,서울 서대문구 연희동 170-181,37.5798169,126.9356641,"월, 목 09:00~10:30",지자체에 문의,02-335-7330,,,헬스,홍제천 일대,20,서대문구,
,헬스(홍제천 일대),서대문,서울 서대문구 연희동 170-181,37.5798169,126.9356641,"월, 목 09:00~10:30",지자체에 문의,02-335-7330,,,헬스,홍제천 일대,20,서대문구,
,헬스(홍제천 일대),서대문,서울 서대문구 연희동 170-181,37.5798169,126.9356641,"월, 수 14:00~15:30",지자체에 문의,02-335-7330,,,헬스,홍제천 일대,20,서대문구,
,헬스(홍제천 일대),서대문,서울 서대문구 연희동 170-181,37.5798169,126.9356641,"화, 수 09:00~10:30",지자체에 문의,02-335-7330,,,헬스,홍제천 일대,20,서대문구,
,헬스(홍제천 일대),서대문,서울 서대문구 연희동 170-181,37.5798169,126.9356641,"월, 수 14:00~15:30",지자체에 문의,02-335-7330,,,헬스,홍제천 일대,20,서대문구,
,헬스(홍제천 일대),서대문,서울 서대문구 연희동 170-181,37.5798169,126.9356641,금 14:00~15:30,지자체에 문의,02-335-7330,,,헬스,홍제천 일대,20,서대문구,
,헬스(홍제천 일대),서대문,서울 서대문구 연희동 170-181,37.5798169,126.9356641,"화, 수, 목 09:00~10:30",지자체에 문의,02-335-7330,,,헬스,홍제천 일대,20,서대문구,
,뉴스포츠(북아현방과후교실),서대문,서울특별시 서대문구 충정로 52,37.56335057,126.9658861,"월, 수 15:00~16:20",지자체에 문의,02-364-3462,,,뉴스포츠,북아현방과후교실,25,북아현방과후교실,
,경춘선 숲길 걷기 수업(경춘선숲길),노원,서울특별시 노원구 동일로198가길 149,37.63039111,127.0670364,수 10:45~11:30,지자체에 문의,,,,경춘선 숲길 걷기 수업,경춘선숲길,15,노원구민,
,경춘선 숲길 걷기 수업(경춘선숲길),노원,서울특별시 노원구 동일로198가길 149,37.63039111,127.0670364,수 10:00~10:45,지자체에 문의,,,,경춘선 숲길 걷기 수업,경춘선숲길,15,노원구민,
,경춘선 숲길 걷기 수업(경춘선숲길),노원,서울특별시 노원구 동일로198가길 149,37.63039111,127.0670364,월 10:45~11:30,지자체에 문의,,,,경춘선 숲길 걷기 수업,경춘선숲길,15,노원구민,
,경춘선 숲길 걷기 수업(경춘선숲길),노원,서울특별시 노원구 동일로198가길 149,37.63039111,127.0670364,월 10:00~10:45,지자체에 문의,,,,경춘선 숲길 걷기 수업,경춘선숲길,15,노원구민,
,경춘선 숲길 걷기 수업(경춘선 숲길),노원,서울특별시 노원구 동일로198가길 149,37.63039111,127.0670364,금 10:40~11:20,지자체에 문의,,,,경춘선 숲길 걷기 수업,경춘선 숲길,20,노원구민,
,경춘선 숲길 걷기 수업(경춘선 숲길),노원,서울특별시 노원구 동일로198가길 149,37.63039111,127.0670364,금 10:00~10:40,지자체에 문의,,,,경춘선 숲길 걷기 수업,경춘선 숲길,20,노원구민,
,경춘선 숲길 걷기 수업(경춘선 숲길),노원,서울특별시 노원구 동일로198가길 149,37.63039111,127.0670364,월 10:40~11:20,지자체에 문의,,,,경춘선 숲길 걷기 수업,경춘선 숲길,20,노원구민,
,경춘선 숲길 걷기 수업(경춘선 숲길),노원,서울특별시 노원구 동일로198가길 149,37.63039111,127.0670364,월 10:00~10:40,지자체에 문의,,,,경춘선 숲길 걷기 수업,경춘선 숲길,20,노원구민,
,경춘선 숲길 걷기 수업(경춘선숲길),노원,서울특별시 노원구 동일로198가길 149,37.63039111,127.0670364,금 10:40~11:20,지자체에 문의,,,,경춘선 숲길 걷기 수업,경춘선숲길,10,노원구민,
,경춘선 숲길 걷기 수업(경춘선숲길),노원,서울특별시 노원구 동일로198가길 149,37.63039111,127.0670364,금 10:00~10:40,지자체에 문의,,,,경춘선 숲길 걷기 수업,경춘선숲길,10,노원구민,
,경춘선 숲길 걷기 수업(경춘선숲길),노원,서울특별시 노원구 동일로198가길 149,37.63039111,127.0670364,목 10:40~11:20,지자체에 문의,,,,경춘선 숲길 걷기 수업,경춘선숲길,10,노원구민,
,경춘선 숲길 걷기 수업(경춘선숲길),노원,서울특별시 노원구 동일로198가길 149,37.63039111,127.0670364,목 10:00~10:40,지자체에 문의,,,,경춘선 숲길 걷기 수업,경춘선숲길,10,노원구민,
,학교체육(월계복지관),노원,서울특별시 노원구 초안산로 1길 51,37.62724445,127.0527656,목 16:50~17:30,지자체에 문의,,,,학교체육,월계복지관,8,월계복지관,
,헬스(오동생활체육공원),강북,서울특별시 강북구 오패산로52라길 149,37.62080086,127.0344901,월수금 15:00~16:30,지자체에 문의,02-989-3422,,,헬스,오동생활체육공원,15,오동생활체육관,
,축구(강북구민운동장),강북,서울특별시 강북구 오현로 187-25,37.62942638,127.0379894,수 13:40~16:00,지자체에 문의,,,,축구,강북구민운동장,35명,수유시장상인회축구동아리,
,생활체조(래미안라센트아파트),성북,서울특별시 성북구 종암로24가길 80,37.59931367,127.0392269,목 10:00~10:45,지자체에 문의,02-917-1426,,,생활체조,래미안라센트아파트,20명,래미안라센트아파트,
,걷기운동(북한산둘레길),성북,서울특별시 성북구 솔샘로25길 121-50,37.62095698,127.0068831,수 10:00~11:50,지자체에 문의,02-3676-7330,,,걷기운동,북한산둘레길,30명,북한산둘레길,
,걷기운동(성북동성곽길),성북,서울특별시 성북구,37.58935882,127.0167029,월 10:00~11:50,지자체에 문의,,,,걷기운동,성북동성곽길,30명,성북동성곽길,
,걷기운동(북서울꿈의숲),성북,서울특별시 강북구 월계로 173,37.62025446,127.0443247,금 10:00~11:50,지자체에 문의,02-3676-7330,,,걷기운동,북서울꿈의숲,30명,북서울꿈의숲,
,생활체조(래미안라센트아파트),성북,서울특별시 성북구 종암로24가길 80,37.59931367,127.0392269,목 10:00~10:45,지자체에 문의,02-917-1426,,,생활체조,래미안라센트아파트,20명,래미안라센트아파트,
,걷기운동(북한산둘레길),성북,서울특별시 성북구 솔샘로25길 121-50,37.62095698,127.0068831,수 10:00~11:50,지자체에 문의,02-3676-7330,,,걷기운동,북한산둘레길,30명,북한산둘레길,
,생활체조(성북구보건소),성북,서울특별시 성북구 화랑로 63,37.60271066,127.0395333,"화, 목 15:50~17:10",지자체에 문의,,,,생활체조,성북구보건소,50명,성북구보건소,http://www.sb.go.kr/bogunso/main.do
,생활체조(정릉 e편한세상아파트),성북,서울특별시 성북구 북악산로 851,37.60025102,127.0183154,금 10:00~10:50,지자체에 문의,02-914-1871,,,생활체조,정릉 e편한세상아파트,20명,정릉e편한세상아파트,
,생활체조(성북구보건소),성북,서울특별시 성북구 화랑로63,37.60271066,127.0395333,"월,수 16:30~17:10",지자체에 문의,02-2241-1749,,,생활체조,성북구보건소,30명,성북구보건소,www.sb.go.kr/bogunso/main.do
,생활체조(성북구보건소),성북,서울특별시 성북구 화랑로63,37.60271066,127.0395333,"월,수 15:50~16:30",지자체에 문의,02-2241-1749,,,생활체조,성북구보건소,30명,성북구보건소,www.sb.go.kr/bogunso/main.do
,걷기(성북동 성곽길),성북,서울특별시 종로구 창경궁로307 성북동 성곽길 혜화문,37.58796215,127.003505,월 11:00~12:00,지자체에 문의,,,,걷기,성북동 성곽길,30명,성북구체육회,
,걷기(성북동 성곽길),성북,서울특별시 종로구 창경궁로307 성북동 성곽길 혜화문,37.58796215,127.003505,월 10:00~11:00,지자체에 문의,,,,걷기,성북동 성곽길,30명,성북구체육회,
,걷기(북서울꿈의숲),성북,서울특별시 강북구 월계로 173,37.62025446,127.0443247,금 10:00~11:20,지자체에 문의,02-3676-7330,,,걷기,북서울꿈의숲,30명,북서울꿈의숲,
,생활체조(돈암코오롱아파트),성북,서울특별시 성북구 아리랑로 75,37.59883026,127.0136255,목 10:00~10:40,지자체에 문의,010-8331-9352,,,생활체조,돈암코오롱아파트,20명,돈암코오롱아파트,
,근력운동(석관두산아파트),성북,서울특별시 성북구 화랑로48길16,37.61376289,127.0689946,목 10:00~10:45,지자체에 문의,,,,근력운동,석관두산아파트,20명,성북구보건소,
,걷기(북한산둘레길),성북,서울특별시 성북구 삼선교로 30-1,37.58795905,127.009126,수 10:00~11:30,지자체에 문의,02-3676-7330,,,걷기,북한산둘레길,30명,성북구체육회,
,걷기(북서울꿈의숲),성북,서울특별시 성북구 삼선교로 30-1,37.58795905,127.009126,금 10:00~11:30,지자체에 문의,02-36767-7330,,,걷기,북서울꿈의숲,30명,성북구체육회,http://www.sportssb.or.kr/
,밴드운동(꿈의숲코오롱하늘채아파트),성북,서울특별시 성북구 돌곶이로 220,37.61901822,127.0464327,수 10:00~10:45,지자체에 문의,010-3499-7854,,,밴드운동,꿈의숲코오롱하늘채아파트,30명,꿈의숲코오롱하늘채아파트,
,걷기(성북동성곽길),성북,서울특별시 성북구 삼선교로 30-1,37.58795905,127.009126,월 10:00~11:30,지자체에 문의,02-36767-7330,,,걷기,성북동성곽길,30명,성북구체육회,http://www.sportssb.or.kr/
,생활체조(돈암2동주민센터 다목적홀),성북,서울특별시 성북구 흥천사길 7,37.59801698,127.010539,목 15:00~16:20,지자체에 문의,010-9897-5422,,,생활체조,돈암2동주민센터 다목적홀,30명,돈암2동주민센터 다목적홀,
,생활체조(안암동주민센터 다목적홀),성북,서울특별시 성북구 고려대로16,37.58582076,127.0213756,수 13:30~14:50,지자체에 문의,010-4266-8991,,,생활체조,안암동주민센터 다목적홀,30명,안암동주민센터 다목적홀,
,배드민턴(용두문화복지센터 (체육관)),동대문,서울특별시 동대문구 고산자로28길 13,37.57532359,127.0391728,"화,목 10:00~11:30",지자체에 문의,02-6929-2647,,,배드민턴,용두문화복지센터 (체육관),15명,용두문화복지센터,
,배드민턴(광장동실내배드민턴장),광진,서울 광진구 천호대로140길 40,37.54442528,127.1001957,"화,목 14:00~15:00",지자체에 문의,02-458-9062,,,배드민턴,광장동실내배드민턴장,15명,광장동실내배드민턴장,
,배드민턴(광장동실내배드민턴장),광진,서울 광진구 천호대로140길 40,37.54442528,127.1001957,"화,목 13:00~14:00",지자체에 문의,02-458-9062,,,배드민턴,광장동실내배드민턴장,15명,광장동실내배드민턴장,
,헬스(광진구보건소운동교육실),광진,서울특별시 광진구 자양로117,37.53853161,127.0819098,"화,수 10:30~11:10",지자체에 문의,02-450-1300,,,헬스,광진구보건소운동교육실,20명,광진구보건소,
,헬스(광진구보건소운동교육실),광진,서울특별시 광진구 자양로117,37.53853161,127.0819098,"화,수 09:30~10:10",지자체에 문의,02-450-1300,,,헬스,광진구보건소운동교육실,20명,광진구보건소,
,헬스(광진구청 보건소체력단련실),광진,서울특별시 자양로117 보건소2층,37.53853161,127.0819098,목 10:30~11:30,지자체에 문의,02-450-1586,,,헬스,광진구청 보건소체력단련실,10명,광진구청 보건소체력단련실,
,헬스(광진구청 보건소체력단련실),광진,서울특별시 자양로117 보건소2층,37.53853161,127.0819098,목 09:30~10:30,지자체에 문의,02-450-1586,,,헬스,광진구청 보건소체력단련실,10명,광진구청 보건소체력단련실,
