,category_id,name,district,address,latitude,longitude,work_time,price,phone_number,image_url,SNS url,page_url,description,책방 구분명
195,,반도서점,금천구,금천구 독산로 136,37.45950062,126.9052313,,무료,02-805-9839,,,,,새책방      
198,,배광서점,양천구,양천구 목동중앙남로 28,37.53647642,126.8673893,,무료,02-2643-1020 ,,,,,새책방      
200,,백호문구서점,마포구,마포구 광성로6안길 10,37.54886866,126.9381762,,무료,02-716-8628,,,,,새책방      
202,,번역가의 서재,마포구,마포구 동교로17길 67 101호,37.55765179,126.9142773,,무료,0507-1367-7421,https://bookshopmap.s3.ap-northeast-2.amazonaws.com/venue/%E1%84%8B%E1%85%B3%E1%86%B7%E1%84%80%E1%85%A1%E1%86%B7%E1%84%92%E1%85%AC_0c1c31bd.jpg?ver=1665387457,https://www.instagram.com/tlbseoul,,,새책방      
204,,벧엘서점,강서구,강서구 강서로47길 36,37.55295337,126.8341859,,무료,02-2663-1678,,,,,새책방      
207,,보람책문고,노원구,노원구 한글비석로 466 지하1층,37.66457189,127.0664179,,무료,02-935-4999,,,,,새책방      
208,,보성서점,강동구,강동구 양재대로89길 28,37.52689198,127.133932,,무료,02-483-1477,https://mblogthumb-phinf.pstatic.net/20140530_13/riverlan_1401437525135bh0Qw_JPEG/20140423_164758.jpg?type=w420,,,,새책방      
213,,북라인,관악구,관악구 신림로28길 81,37.47202216,126.9378065,,무료,02-883-4939,,,http://gosibookline.co.kr/,,새책방      
215,,북뱅크,노원구,노원구 한글비석로 242 삼부프라자 지하1층,37.6492349,127.0769736,,무료,02-2091-0304,,,,,새책방      
221,,북악서점,성북구,성북구 정릉로 159,37.60779676,127.0027864,,무료,02-942-0649,,,,,새책방      
222,,북오피스,강서구,강서구 공항대로48길 47,37.55261303,126.8545282,,무료,02-2242-6460,,,,,새책방      
226,,분당책선생,송파구,송파구 송파대로 425 문화빌딩 지하1층,37.5046823,127.1071315,,무료,02-424-4142,,,,,헌책방      
234,,사이에 in 공간인흑석,동작구,동작구 흑석로5길 94,37.50928639,126.9588126,,무료,02-325-6563,,https://www.instagram.com/saiebook,https://blog.naver.com/saiebook,,새책방      
241,,삼환서점,강동구,강동구 구천면로 427,37.55050639,127.1461468,,무료,02-3428-1582,,,,,새책방      
242,,상계문고,노원구,노원구 동일로 1361 상계주공2단지상가 지하1층,37.65006498,127.0612842,,무료,02-931-9453,https://t1.daumcdn.net/cfile/tistory/2224FD34580ACB182A,,,,새책방      
243,,상상아이서점,강서구,강서구 강서로48길 39 2층 ,37.5525607,126.8385922,,무료,02-3664-8034,,,,,새책방      
246,,상현서림,중랑구,중랑구 답십리로77길 39,37.5733742,127.081476,,무료,02-2275-5886,https://www.seoulbookbogo.kr/shop/img/store_person6.jpg,https://www.instagram.com/sanghyunbookstore,,,헌책방      
249,,샘서림,강남구,개포로 218,37.47850244,127.046661,,무료,02-578-1041,,,,,새책방      
250,,생각의 주인,관악구,솔밭로7길 17,37.48027196,126.9633731,,무료,070-7604-7104,https://mblogthumb-phinf.pstatic.net/MjAyMTAxMzFfMTk5/MDAxNjEyMDcwMDc5NzM1.KVA4Y8Ij8SLl108MSoeIGGttGJhVEaLRZ31Y1kqR8Ksg.JtJ7IWd9DcVMWzyix6Yx3GKsnAbLtmPL05Seu55ISl8g.JPEG.kdongchae/SE-e6b0f1ed-5de2-11eb-9260-314eb4c2b76e.jpg?type=w800,https://www.instagram.com/master_of_thought20,https://blog.naver.com/maumhee,,새책방      
255,,서울책방,중구,"중구 세종대로 110, 지하 1층",37.56631742,126.9778292,,무료,02-739-7033,,,http://store.seoul.go.kr,,새책방      
260,,서점 마므레,서대문구,서대문구 명지대길 10 2층,37.58079402,126.925122,,무료,0507-1339-8673,,https://www.instagram.com/mamrebooks,,,새책방      
263,,서초서적문구,서초구,서초구 효령로 224,37.48329291,127.0085356,,무료,02-583-4389,,,,,새책방      
269,,선영씨 책방,도봉구,도봉구 삼양로 534-6 2층,37.65077694,127.0135443,,무료,,,https://www.instagram.com/sunyoungs_bookshop,,,새책방      
276,,소나기 그림책방,서대문구,서대문구 독립문로 32 2층,37.56928427,126.9612723,,무료,0507-1357-7454,,https://www.instagram.com/sonagi_picturebookshop,https://blog.naver.com/sonagibooks,,새책방      
277,,소리북스,성북구,성북구 성북로13길2 2층,37.59274943,127.0016836,,무료,02-736-9701,,https://www.instagram.com/soribooks/,http://www.soribooks.com,,새책방      
282,,송파서적,송파구,송파구 송파대로32길 8 1층,37.49681342,127.117596,,무료,02-402-4770,,,,,헌책방      
286,,숙명도서,용산구,용산구 청파로47길 88,37.54514394,126.965943,,무료,02-717-9139,,,,,새책방      
288,,순화동천,중구,서소문로9길 28,37.56361936,126.9703136,,무료,02-772-9001,,https://www.instagram.com/sunhwadongcheon_official ,http://blog.naver.com/sunhwadongcheon ,,새책방      
290,,숭실서적,은평구,은평구 은평터널로7길 17-2 ,37.59231015,126.9044129,,무료,02-374-8917,,,,,새책방      
291,,스쿨서점,동작구,동작구 대방동길 71,37.50445617,126.9251902,,무료,02-816-4498,,http://www.facebook.com/sbook4498,,,새책방      
296,,스토리텔링,성동구,성동구 서울숲4길 13,37.54756905,127.0424499,,무료,02-465-1078,,https://www.instagram.com/ck_storytelling,,,새책방      
297,,스페인책방,중구,중구 퇴계로 36길 29 기남빌딩 5층 603호,37.56054635,126.9950575,,무료,0507-1311-7694,https://bookshopmap.s3.ap-northeast-2.amazonaws.com/venue/spainbookshop_50035357_146579149676886_7395471827218310454_n.jpg,https://www.instagram.com/spainbookshop,https://www.spainbookshop.com,,새책방      
299,,스프링한국어서점,마포구,마포구 양화로 193,37.55884094,126.9258762,,무료,0507-1384-8363,https://mblogthumb-phinf.pstatic.net/MjAyMjA5MTJfODMg/MDAxNjYyOTg0MjAzMjU5.FIR0CX7-0k6Jzm8gvSXeegvQEKA6zGuJ26AvAhSOm4cg.IijQ9q8k6VMS9TRKqpClEEwylBr5uAOk4kYdkkqhSBsg.JPEG.spody1102/IMG_0015.jpg?type=w800,,http://www.springkorean.com,,새책방      
300,,시시소소,마포구,도화2길 27 도화아파트먼트 마포 3층,37.5395405,126.9494904,,무료,0507-1494-5590,,https://www.instagram.com/sisisosoplaykit,https://www.sisi-soso.com,,새책방      
306,,신명문고,도봉구,도봉구 도봉로 705 지하1층,37.66744295,127.0428854,,무료,02-955-9088,,,,,새책방      
308,,신성서림,종로구,종로구 종로 258 대학천상가(덕성빌딩),37.5706569,127.0064795,,무료,02-2265-9579,,,,,새책방      
309,,신일서점,강북구,강북구 덕릉로 45,37.63464706,127.0188555,,무료,02-908-9552,,,,,헌책방      
312,,쌈북서점,양천구,양천구 목동서로 277 대림아크로텔 108호,37.52245427,126.8694393,,무료,02-2643-9319 ,https://mblogthumb-phinf.pstatic.net/MjAyMTA5MTRfMTc2/MDAxNjMxNjAzMDgyMjA3._Wa_cUsD7spc5AI3UHNVj49oETv86un5oX67s00kXHQg.Fjg_yp7l5TQRhYVqzd8dZcvhW-CWec9j9_pFO5V8fdgg.JPEG.wonderwomanmommy/IMG_8204.jpg?type=w800,,,,새책방      
313,,쌍문문고,도봉구,도봉구 도봉로 482 우성빌딩 지하1층,37.64846313,127.0350076,,무료,02-996-0559,https://mblogthumb-phinf.pstatic.net/MjAxOTAyMTNfMjQ4/MDAxNTUwMDQ4OTczODI1.wTA00fqLx3aW2Yto99Eo3MuqGhbQr4ImIHdYU8ZA79Ig.jqTgIFDMVAhTOyuOZI8iBONoaPDPo2vP0Ity0DvmYiog.JPEG.waterntree2/20190121_201046.jpg?type=w800,,,,새책방      
317,,아운트,강동구,강동구 양재대로 126길 54 101호,37.54334035,127.1453044,,무료,0507-1351-3130,,www.instagram.com/a.und_,https://blog.naver.com/aund_,,새책방      
326,,안도북스,마포구,마포구 월드컵북로6길 87 2층 201호,37.56028501,126.9225799,,무료,,https://street-h.com/wp-content/uploads/2016/11/%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%84%87%E1%85%AE%E1%86%A8%E1%84%89%E1%85%B3_20161012_02.jpg,https://www.instagram.com/ando_books,http://blog.naver.com/ando78,,새책방      
337,,알라딘 중고매장(연신내점),은평구,은평구 연서로 214,37.6174451,126.9199521,,무료,1544-2514,https://t1.daumcdn.net/cfile/blog/99D599335D5AB5742D,,,,헌책방      
