"일련번호","지역구","제목","내용","대상","종목","일시","장소","참가규모(명)","수혜기관명","주소","전화번호","기관 홈페이지"
"6665","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","금 11:00~11:40","반석햇빛데이케어센터","15명","반석햇빛데이케어센터","서울특별시 강동구 양재대로130길 11-금터빌딩2층","02-477-4268","https://cafe.naver.com/sunville"
"6664","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","목 15:30~16:10","해공노인복지관데이케어센터","10명","해공노인복지관데이케어센터","서울특별시 강동구 천중로17길 42-16","02-478-0601","http://www.gdhg9988.or.kr/"
"6663","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","목 14:40~15:20","해공노인복지관","20명","해공노인복지관","서울특별시 강동구 천중로17길 42-16","02-478-0602","http://www.gdhg9989.or.kr/"
"6662","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","목 14:00~14:40","해공노인복지관","20명","해공노인복지관","서울특별시 강동구 천중로17길 42-16","02-478-0601","http://www.gdhg9988.or.kr/"
"6661","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","수 15:30~16:10","가온데이케어센터","15명","가온데이케어센터","서울특별시 강동구 천호대로 1203-6,  7층","02-489-0993","https://cafe.naver.com/kddcc"
"6660","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","수 10:50~11:30","미르사랑데이케어센터","20명","미르사랑데이케어센터","서울특별시 강동구 천호대로 1210 은선빌딩 4층","02-475-8808",""
"6659","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","화 15:30~16:10","가온데이케어센터","15명","가온데이케어센터","서울특별시 강동구 천호대로 1203-6,  7층","02-489-0993","https://cafe.naver.com/kddcc"
"6658","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","화 11:00~12:00","강동노인복지관","25명","강동노인복지관","서울특별시 강동구 동남로71길 32-5 4층","070-7510-3051","http://www.gdsw.or.kr"
"6657","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","월 14:00~15:00","성가정복지관","25명","성가정복지관","서울특별시 강동구 양재대로156길 28-(고덕동 317-25) 명일동천주교회","02-481-2217","http://www.skjsenior.org/"
"6656","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","월 11:00~11:40","반석햇빛데이케어센터","15명","반석햇빛데이케어센터","서울특별시 강동구 양재대로130길 11-금터빌딩2층","02-477-4268","https://cafe.naver.com/sunville"
"6655","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","목 14:00~15:00/15:00~16:00","강동노인복지관","15명","강동노인복지관","서울특별시 강동구 동남로71길 32-5","070-7510-3051",""
"6654","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","금 14:00~15:00","해공노인복지관데이케어센터","20명","해공노인복지관데이케어센터","서울특별시 강동구 천중로17길 42-16","02-478-0601","http://www.gdsw.or.kr"
"6653","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","금 11:00~11:40","반석햇빛데이케어센터","15명","반석햇빛데이케어센터","서울특별시 강동구 양재대로130길 11-금터빌딩2층","02-477-4268","https://cafe.naver.com/sunville"
"6652","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","목 10:45~11:30","성내2동경로당","15명","성내2동경로당","서울특별시 강동구 올림픽로62길 35","02-442-1026",""
"6651","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","화 11:20~12:00/수 14:30~15:20","프라이어팰리스경로당","15명","프라이어팰리스경로당","서울특별시 강동구 고덕로 130","02-426-4674",""
"6650","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","수 11:20~12:00","해공노인복지관","15명","해공노인복지관","서울특별시 강동구 천중로17길 42-16","02-478-0601","https://blog.naver.com/cheunho9988"
"6649","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","화 14:00~14:40","천호동성당 데이케어센터","15명","천호동성당 데이케어센터","서울특별시 강동구 구천면로 236-1-성우안토니오관 5층","02-471-9973","https://blog.naver.com/cheunho9988"
"6648","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","화 10:00~11:00","성가정복지관","25명","성가정복지관","서울특별시 강동구 양재대로156길 28-(고덕동 317-25) 명일동천주교회","02-481-2217","http://www.skjsenior.org/"
"6647","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","월14:40:~15:30","선사현대아파트경로당","15명","선사현대아파트경로당","서울특별시 강동구 상암로 11","",""
"6423","서초","어르신체육활동사업","일반사업","어르신","생활","월 13:00~14:10","서초1동경로당","10명","양재노인복지관","서울특별시 서초구 효령로68길 49-3","02-578-1515",""
"6646","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","월 13:30~14:10","강동노인복지관데이케어센터","20명","강동노인복지관","서울특별시 강동구 동남로71길 32-5 4층","02-426-2048","http://www.gdsw.or.kr"
"6645","강동","어르신체육활동사업","어르신체육활동사업","어르신","스트레칭","월 10:50~11:30","성내3동 제1경로당","10명","성내3동 제1경로당","서울특별시 강동구 양재대로97길 41","02-486-4391",""
"6644","송파","일반체육활동사업","학교체육","초등 1~2학년","학교체육","금 14:40~16:10(2)","석촌초등학교","30명","석촌초등학교","서울특별시 송파구 가락로11길 26","02-416-4075","https://seokchon.sen.es.kr/"
"6643","송파","일반체육활동사업","학교체육","초등 1~2학년","학교체육","목 15:30~16:50(2)","오륜초등학교","30명","오륜초등학교","서울특별시 송파구 양재대로 1196","02-403-8823","https://oryun.sen.es.kr/"
"6642","송파","일반체육활동사업","학교체육","초등 1~2학년","학교체육","수 14:00~15:20(2)","잠일초등학교","40명","잠일초등학교","서울특별시 송파구 올림픽로","02-413-2853","https://jamil.sen.es.kr/"
"6641","송파","일반체육활동사업","학교체육","초등 1~2학년","학교체육","화 14:30~16:00(2)","잠전초등학교","30명","잠전초등학교","서울특별시 송파구 올림픽로12길 51","02-423-5625","https://jamjeon.sen.es.kr/"
"6640","송파","어르신체육활동사업","당구","어르신","당구","화 10:30~11:50(2)","럭셔리당구장","20명","송파구당구연맹","서울특별시 송파구 송이로17길 61 태준빌딩","02-408-6449",""
"6639","송파","어르신체육활동사업","탁구","어르신","탁구","월 15:00~16:20(2)","송파종합사회복지관","20명","송파종합사회복지관","서울특별시 송파구 오금로51길 34(거여동)","02-401-1919","http://www.songpacc.or.kr/"
"6638","송파","일반체육활동사업","유아체육","유아 만6~7세","유아체육","월 10:30~11:10","아우름체육센터","15명","뉴한가람어린이집","서울특별시 송파구 성내천로 162 (마천동)","02-443-0138",""
"6637","송파","일반체육활동사업","유아체육","유아 만6~7세","유아체육","수 10:30~11:10","아우름체육센터","15명","거여리본타운어린이집","서울특별시 송파구 오금로53길 14","02-402-1900",""
"6636","송파","어르신체육활동사업","생활체조","어르신","생활체조","금 14:00~14:40","파인2경로당","15명","파인2경로당","서울특별시 송파구 충민로 151","02-443-8986",""
"6635","송파","어르신체육활동사업","생활체조","어르신","생활체조","금 11:00~11:40","사회복지관","30명","사회복지관","서울특별시 송파구 오금로51길 34","02-401-1919","http://www.songpacc.or.kr/"
"6634","송파","어르신체육활동사업","생활체조","어르신","생활체조","목 13:30~14:10","거여동구립경로당","15명","거여동구립경로당","서울특별시 송파구 오금로476-12","02-448-3146",""
"6633","송파","어르신체육활동사업","생활체조","어르신","생활체조","목 11:00~11:40","동아효성경로당","15명","동아효성경로당","서울특별시 송파구 양산로8길 24","",""
"6632","송파","어르신체육활동사업","생활체조","어르신","생활체조","수 14:50~15:30","송파복지센터","20명","송파복지센터","서울특별시 송파구 백제고분로41길 19-24 신원빌딩","02-2202-3671","http://www.songpawelfare.com/"
"6631","송파","어르신체육활동사업","생활체조","어르신","생활체조","수 14:00~14:40","송파치매지원센터","20명","송파치매지원센터","서울특별시 송파구 충민로 184","02-2147-5050","http://www.songpa.seouldementia.or.kr/Default.asp"
"6630","송파","어르신체육활동사업","생활체조","어르신","생활체조","수 10:00~10:40","훼밀리데이케어센터","20명","훼밀리데이케어센터","서울특별시 송파구 문정동 150-30","02-400-9506","http://www.familydaycare.co.kr/"
"6629","송파","어르신체육활동사업","생활체조","어르신","생활체조","화 14:20~15:00","잔버들경로당","15명","잔버들경로당","서울특별시 송파구 새말로15길 17-5","",""
"6628","송파","어르신체육활동사업","생활체조","어르신","생활체조","화 11:00~11:40","삼익경로당","15명","삼익경로당","서울특별시 송파구 오금로32길 13 가락삼익맨숀","",""
"6627","송파","어르신체육활동사업","생활체조","어르신","생활체조","월 11:00~11:40","석촌경로당","15명","석촌경로당","서울특별시 송파구 백제고분로 40길 13-16 석촌주민복지관","",""
"6626","송파","어르신체육활동사업","생활체조","어르신","생활체조","월 15:00~15:40","사랑드림데이케어센터","20명","사랑드림데이케어센터","서울특별시 송파구 백제고분로 469 가응빌딩 3,4층","0507-1310-0093","https://blog.naver.com/NBlogTop.naver?isHttpsRedirect=true&blogId=ellove0093"
"6625","송파","어르신체육활동사업","생활체조","어르신","생활체조","월 13:30~14:10","잠실데이케어센터","30명","잠실데이케어센터","서울특별시 송파구 가락동 30-2 미팰리스 2,3,4","02-420-2838","http://www.jamsildaycare.com/"
"6624","송파","일반체육활동사업","유아체육","유아 만6~7세","유아체육","금 10:30~11:10","아우름체육센터","20명","다온어린이집","서울특별시 송파구 거마로7길 42","02-443-5996",""
"6623","송파","일반체육활동사업","유아체육","유아 만6~7세","유아체육","수 10:30~11:10","아우름체육센터","15명","거여리본타운어린이집","서울특별시 송파구 오금로53길 14","02-402-1900",""
"6622","송파","일반체육활동사업","유아체육","유아 만6~7세","유아체육","월 10:30~11:10","아우름체육센터","15명","뉴한가람어린이집","서울특별시 송파구 성내천로 162 (마천동)","02-443-0138",""
"6621","송파","학교체육","학교체육","유소년","학교체육","목 14:00~15:20(2)","송파초등학교","40명","송파초등학교","서울특별시 송파구 백제고분로400","02-414-0644","https://songpa.sen.es.kr/"
"6620","송파","학교체육","학교체육","유소년","학교체육","금 14:30~16:00(2)","마천청소년수련관","40명","마천청소년수련관","서울특별시 송파구 성내천로 319","02-443-0100","http://www.mcyouth.or.kr/"
"6619","송파","학교체육","학교체육","유소년","학교체육","수 15:30~16:10","마천청소년수련관","20명","마천청소년수련관","서울특별시 송파구 성내천로 319","02-443-0100","http://www.mcyouth.or.kr/"
"6618","송파","일반체육활동사업","학교체육","초등 1~2학년","학교체육","화 14:00~15:20(2)","잠실초등학교","15명","잠실초등학교","서울특별시 송파구 올림픽로35길 20","02-3432-3571","http://www.jamsil.sen.es.kr"
"6617","송파","학교체육","학교체육","유소년","학교체육","금 14:00~15:20(2)","잠현초등학교","40명","잠현초등학교","서울특별시 송파구 올림픽로37길 109","02-415-8105","https://jamhyun.sen.es.kr/"
"6616","송파","어르신체육활동사업","생활체조","어르신","생활체조","화 10:00~10:40","방이시장 고객쉼터","15명","방이시장","서울특별시 송파구 가락로 243(방이2동)","02-474-1201",""
"6615","송파","어르신체육활동사업","코어운동","어르신","코어운동","월 14:00~14:40","송파실벗뜨락","20명","송파실벗뜨락","서울특별시 백제고분로 42길 5","02-413-9999","https://www.songpasilbeot.or.kr"
"6614","송파","어르신체육활동사업","공체조","어르신","공체조","금 14:30~15:10","A+효담라이프케어","10명","A+효담라이프케어","서울특별시 송파구 송파대로28길 20 세화빌딩 3층 308호","02-443-0913","https://www.hyodamlifecare.co.kr"
"6613","송파","어르신체육활동사업","코어운동","어르신","코어운동","금 14:10~14:50","송파복지센터","30명","송파복지센터","서울특별시 송파구 장지동 92-1","02-409-1616","https://www.songpawelfare.com"
"6612","송파","어르신체육활동사업","공체조","어르신","공체조","금 13:00~13:40","개롱경로당","10명","개롱경로당","서울특별시 송파구 거마로61 5층","02-409-6929",""
"6611","송파","어르신체육활동사업","공체조","어르신","공체조","금 10:50~11:30","송파365데이케어센터","15명","송파365데이케어센터","서울특별시 송파구 거마로 12","02-409-2388","https://blog.daum.net/songpa.365"
"6610","송파","어르신체육활동사업","코어운동","어르신","코어운동","목 15:00~15:40","오금경로문화센터","15명","오금경로문화센터","서울특별시 송파구 성내천로 10길 4","02-430-6555","https://www.song-pa.or.kr"
"6609","송파","어르신체육활동사업","공체조","어르신","공체조","목 10:40~11:20","행복케어주야간보호센터","20명","행복케어주야간보호센터","서울특별시 송파구 거마로61 5층","02-508-3870","https://www.happy-care.co.kr"
"6608","송파","어르신체육활동사업","공체조","어르신","공체조","수 14:00~14:40","A+잠실데이케어센터","30명","A+잠실데이케어센터","서울특별시 송파구 백제고분로 235","02-2202-2235","https://www.jsdaycare.com"
"6607","송파","어르신체육활동사업","코어운동","어르신","코어운동","수 09:40~10:20","마천종합사회복지관","20명","마천종합사회복지관","서울특별시 송파구 마천로65길 4","02-449-3141","https://macheon-welfare.or.kr"
"6606","송파","어르신체육활동사업","코어운동","어르신","코어운동","화 14:00~14:40","송파노인종합복지관","30명","송파노인종합복지관","서울특별시 송파구 백제고분로 32길 41","02-2203-9400","https://www.song-pa.or.kr"
"6605","송파","어르신체육활동사업","공체조","어르신","공체조","화 12:50~13:30","돌마리경로당","15명","돌마리경로당","서울특별시 송파구 가락로7길 4","02-412-0474",""
"6604","송파","어르신체육활동사업","공체조","어르신","공체조","화 11:00~11:40","사랑드림데이케어센터","25명","사랑드림데이케어센터","서울특별시 송파구 백제고분로 469 가응빌딩 3,4층","02-417-0093","https://blog.naver.com/ellove0093"
