,행사명,지역구,제목,내용,대상,종목,일시,장소,참가규모(명),수혜기관명,주소,전화번호,기관 홈페이지,위도,경도
31,헬스(G밸리보건지소),구로,일반체육활동사업,일반체육활동사업,일반,헬스,"화,목 10:00~11:30",G밸리보건지소,120명,G밸리보건지소,"서울특별시 구로구 디지털로 243, 213호(구로동, 지하이시티)",02)860-8174,https://pf.kakao.com/_XJaxdK,37.48199214,126.8923489
32,특수체육(기쁜우리복지관),강서,일반체육활동사업,일반사업,일반,특수체육,화 10:30~11:20,기쁜우리복지관,20,기쁜우리복지관,서울특별시 강서구 허준로65,02-3665-3831,,37.56927822,126.8488644
33,스트레칭(우장산동주민센터),강서,일반체육활동사업,일반사업,일반,스트레칭,금 14:00~14:50,우장산동주민센터,15,우장산동주민센터,서울특별시 강서구 우현로 34,02-2600-7745,,37.54828859,126.8418363
34,스트레칭(가양2동주민센터),강서,일반체육활동사업,일반사업,일반,스트레칭,금 10:00~10:50,가양2동주민센터,15,가양2동주민센터,서울특별시 강서구 허준로 93,02-2600-7808,,37.56739892,126.8512712
35,스트레칭(등촌9복지관),강서,일반체육활동사업,일반사업,일반,스트레칭,목 15:10~16:40,등촌9복지관,15명,등촌9복지관,서울특별시 강서구 화곡로63가길 92-(등촌3동 704) 주공9단지,02-2658-4129,,37.5619516,126.8502091
36,헬스(공항동주민센터),강서,일반체육활동사업,일반사업,일반,헬스,"목,금 10:00~11:20",공항동주민센터,25명,공항동주민센터,서울특별시 강서구 송정로 45,02-2600-7935,,37.55878281,126.8100743
37,헬스(염창동주민센터),강서,일반체육활동사업,일반사업,일반,헬스,수 10:00~11:20,염창동주민센터,16명,염창동주민센터,서울특별시 강서구 양천로67가길 63,02-2600-7306,,37.55377136,126.8709657
38,헬스(우장산동주민센터),강서,일반체육활동사업,일반사업,일반,헬스,"화,금 15:00~16:00",우장산동주민센터,10명,우장산동주민센터,서울특별시 강서구 우현로 34,02-2600-7732,,37.54828859,126.8418363
39,헬스(등촌2동주민센터),강서,일반체육활동사업,일반사업,일반,헬스,화 10:00~11:00,등촌2동주민센터,10명,등촌2동주민센터,서울특별시 강서구 등촌로143,02-2600-7386,,37.54265827,126.8625035
40,특수체육(늘푸른나무복지관),강서,일반체육활동사업,일반체육활동사업,일반,특수체육,목 09:50~11:30,늘푸른나무복지관,10명,늘푸른나무복지관,서울특별시 강서구 허준로5길 37,02-3661-3401,www.egreedn.or.kr,37.56853632,126.8511172
41,특수체육(그라나다보호작업센터),강서,일반체육활동사업,일반체육활동사업,일반,특수체육,화 09:20~11:00,그라나다보호작업센터,30명,그라나다보호작업센터,서울특별시 강서구 허준로5길 37 늘푸른나무 복지관,02-3661-3402,www.granada.or.kr,37.56853632,126.8511172
42,헬스(등촌2동주민센터헬스장),강서,일반체육활동사업,일반체육활동사업,일반,헬스,월 10:00~10:40/수 09:30~10:40/10:40~11:50,등촌2동주민센터헬스장,10명,등촌2동주민센터,서울특별시 강서구 등촌로 143,02-2600-7395,,37.54265827,126.8625035
43,헬스(가양3동주민센터),강서,일반체육활동사업,헬스 강습 및 기구 사용,일반,헬스,목 14:00~15:00,가양3동주민센터,20명,가양3동주민센터,서울특별시 강서구 허준로 202,02-2600-7865,,37.56108697,126.8605577
44,헬스(공항동주민센터),강서,일반체육활동사업,헬스 강습 및 기구 사용,일반,헬스,수14:00~15:00,공항동주민센터,20명,공항동주민센터,서울특별시 강서구 송정로 45,02-2600-7935,,37.55878281,126.8100743
45,헬스(우장산주민센터),강서,일반체육활동사업,헬스 강습 및 기구 사용,일반,헬스,수10:00~11:20금10;00~11:20,우장산주민센터,20명,우장산주민센터,서울특별시 강서구 우현로 34?,02-2600-7745,,37.54828859,126.8418363
46,헬스(가양2동주민센터),강서,일반체육활동사업,헬스 강습 및 기구 사용,일반,헬스,화 14:00~15:00,가양2동주민센터,20명,가양2동주민센터,서울특별시 강서구 허준로 93,02-2600-7825,,37.56739892,126.8512712
47,헬스(등촌3동주민센터),강서,일반체육활동사업,헬스 강습 및 기구 사용,일반,헬스,월 14:00~15:20/목 10:00~11:20,등촌3동주민센터,20명,등촌3동주민센터,서울특별시?강서구 화곡로63길 96 등,02-2600-7445,,37.55888771,126.8479185
48,헬스(염창동주민센터),강서,일반체육활동사업,헬스 강습 및 기구 사용,일반,헬스,월10:00~11:00/금14:00~15:00,염창동주민센터,20명,염창동주민센터,서울특별시 강서구 양천로67가길 63,02-2600-7335,,37.55377136,126.8709657
49,보디빌딩(화곡6동주민센터),강서,일반체육활동사업,기구사용 및 맨몸운동,일반,보디빌딩,금 10:00~11:20,화곡6동주민센터,20명,화곡6동주민센터,서울특별시 강서구 화곡로312,02-26007646,,37.55181666,126.8500765
50,보디빌딩(화곡3동주민센터),강서,일반체육활동사업,스트레칭,일반,보디빌딩,수 15:00~16:30,화곡3동주민센터,20명,화곡3동주민센터,서울특별시 강서구 강서로33가길 17,02-2600-7565,,37.54252631,126.8384139
51,보디빌딩(화곡4동주민센터),강서,일반체육활동사업,기구사용 및 맨몸운동,일반,보디빌딩,수 10:00~11:20,화곡4동주민센터,20명,화곡4동주민센터,서울특별시 강서구 곰달래로57가길26,02-2600-7604,,37.53480238,126.8607489
52,"요가,헬스(화곡6동주민센터)",강서,일반체육활동사업,일반체육활동사업,일반,"요가,헬스",화 09:40~11:10,화곡6동주민센터,20명,화곡6동주민센터,서울특별시 강서구 화곡로312,02-2600-7665,,37.55181666,126.8500765
53,"요가,헬스(우장산동주민센터)",강서,일반체육활동사업,일반체육활동사업,일반,"요가,헬스","월,금 09:40~11:20",우장산동주민센터,20명,우장산동주민센터,서울특별시 강서구 우현로 34,02-2600-7745,,37.54828859,126.8418363
54,뉴스포츠(기쁜우리복지관 지하1층),강서,일반체육활동사업,재활운동,일반,뉴스포츠,목 10:30~11:30,기쁜우리복지관 지하1층,10명,기쁜우리복지관,서울특별시 강서구 허준로65,02-3665-3831,http://www.gibbun.or.kr,37.56927822,126.8488644
55,족구(해누리족구장),양천,일반체육활동사업,족구,일반성인,족구,"화, 목 10:30~11:30",해누리족구장,15명,양천구족구협회,서울 양천구 안양천로 711,,,37.5115265,126.872374
56,헬스&근력운동(G.X)(신월4동주민센터),양천,일반체육활동사업,헬스&근력운동(G.X),성인,헬스&근력운동(G.X),"화10:00~11:30, 목 10:00~11:30",신월4동주민센터,20명,신월4동주민센터,서울특별시 양천구 오목로5길 34,2620-4115,https://www.yangcheon.go.kr/dong/sinwol04/main.do,37.52469581,126.8400811
57,헬스&근력운동(G.X)(목4동주민센터),양천,일반체육활동사업,헬스&근력운동(G.X),성인,헬스&근력운동(G.X),"수 10:00~11:30, 금 10:00~11:30",목4동주민센터,20명,목4동주민센터,서울특별시 양천구 목동중앙로25(목동),2620-4000,https://www.yangcheon.go.kr/dong/mok04/main.do,37.53243314,126.8683948
58,탁구(한빛종합사회복지관),양천,일반체육활동사업,탁구교실,일반,탁구,금 14:50~15:30,한빛종합사회복지관,15명,한빛종합사회복지관,서울특별시 양천구 신월로11길 16,02-2690-8762,http://www.han-bit.or.kr/,37.51907402,126.8402256
59,탁구(한빛종합사회복지관),양천,일반체육활동사업,탁구교실,일반,탁구,금 14:00~14:40,한빛종합사회복지관,15명,한빛종합사회복지관,서울특별시 양천구 신월로11길 16,02-2690-8762,http://www.han-bit.or.kr/,37.51907402,126.8402256
60,탁구(목동종합사회복지관),양천,일반체육활동사업,탁구교실,일반,탁구,금 16:50~17:30,목동종합사회복지관,15명,목동종합사회복지관,서울특별시 양천구 목동중앙북로8길104,02-2651-2333,http://sseoul.or.kr/,37.54424009,126.8663764
61,탁구(목동종합사회복지관),양천,일반체육활동사업,탁구교실,일반,탁구,금 16:00~16:40,목동종합사회복지관,15명,목동종합사회복지관,서울특별시 양천구 목동중앙북로8길104,02-2651-2332,http://sseoul.or.kr/,37.54424009,126.8663764
62,탁구(신정종합사회복지관),양천,일반체육활동사업,탁구교실,일반,탁구,수 16:50~17:30,신정종합사회복지관,15명,신정종합사회복지관,서울특별시 양천구 신정중앙로 36,02-2651-2332,http://sseoul.or.kr/,37.52730285,126.8555308
63,탁구(신정종합사회복지관),양천,일반체육활동사업,탁구교실,일반,탁구,수 16:00~16:40,신정종합사회복지관,15명,신정종합사회복지관,서울특별시 양천구 신정중앙로 36,02-2651-2332,http://sseoul.or.kr/,37.52730285,126.8555308
64,탁구(한빛종합사회복지관),양천,일반체육활동사업,탁구교실,일반,탁구,수 14:00~14:40,한빛종합사회복지관,15명,한빛종합사회복지관,서울특별시 양천구 신월로11길 16,02-2690-8762,http://www.han-bit.or.kr/,37.51907402,126.8402256
65,탁구(신정종합사회복지관),양천,일반체육활동사업,탁구교실,일반,탁구,월 16:50~17:30,신정종합사회복지관,15명,신정종합사회복지관,서울특별시 양천구 신정중앙로 36,02-2651-2332,http://sseoul.or.kr/,37.52730285,126.8555308
66,탁구(신정종합사회복지관),양천,일반체육활동사업,탁구교실,일반,탁구,월 16:00~16:40,신정종합사회복지관,15명,신정종합사회복지관,서울특별시 양천구 신정중앙로 36,02-2651-2332,http://sseoul.or.kr/,37.52730285,126.8555308
67,탁구(목동종합사회복지관),양천,일반체육활동사업,탁구교실,일반,탁구,월 14:50~15:30,목동종합사회복지관,15명,목동종합사회복지관,서울특별시 양천구 목동중앙북로8길 104,02-2651-2333,http://sseoul.or.kr/,37.54424009,126.8663764
68,탁구(목동종합사회복지관),양천,일반체육활동사업,탁구교실,일반,탁구,월 14:00~14:40,목동종합사회복지관,15명,목동종합사회복지관,서울특별시 양천구 목동중앙북로8길 104,02-2651-2333,http://sseoul.or.kr/,37.54424009,126.8663764
69,생활체조(아현건강증진센터),마포,일반체육활동사업,일반체육활동,일반,생활체조,수 13:30~14:30,아현건강증진센터,15명,아현건강증진센터,서울특별시 마포구 마포대로11길 44-81,02-3153-9882,,37.55212686,126.9512971
70,생활체조(아현건강증진센터),마포,일반체육활동사업,일반체육활동,일반,생활체조,월 13:30~14:30,아현건강증진센터,15명,아현건강증진센터,서울특별시 마포구 마포대로11길 44-81,02-3153-9882,,37.55212686,126.9512971
71,뉴스포츠(북아현방과후교실),서대문,일반체육활동사업,유아체육활동지원,일반,뉴스포츠,금 15:00~16:20,북아현방과후교실,25,북아현방과후교실,서울특별시 서대문구 충정로 52,02-364-3462,,37.56335057,126.9658861
72,헬스(홍제천 일대),서대문,우리동네파크트레이너,우리동네파크트레이너,일반,헬스,목 09:00~10:30,홍제천 일대,20,서대문구,서울 서대문구 연희동 170-181,02-335-7330,,37.5798169,126.9356641
73,헬스(홍제천 일대),서대문,우리동네파크트레이너,우리동네파크트레이너,일반,헬스,"월, 목 09:00~10:30",홍제천 일대,20,서대문구,서울 서대문구 연희동 170-181,02-335-7330,,37.5798169,126.9356641
74,헬스(홍제천 일대),서대문,우리동네파크트레이너,우리동네파크트레이너,일반,헬스,"월, 목 09:00~10:30",홍제천 일대,20,서대문구,서울 서대문구 연희동 170-181,02-335-7330,,37.5798169,126.9356641
75,헬스(홍제천 일대),서대문,우리동네파크트레이너,우리동네파크트레이너,일반,헬스,"월, 수 14:00~15:30",홍제천 일대,20,서대문구,서울 서대문구 연희동 170-181,02-335-7330,,37.5798169,126.9356641
76,헬스(홍제천 일대),서대문,우리동네파크트레이너,우리동네파크트레이너,일반,헬스,"화, 수 09:00~10:30",홍제천 일대,20,서대문구,서울 서대문구 연희동 170-181,02-335-7330,,37.5798169,126.9356641
77,헬스(홍제천 일대),서대문,우리동네파크트레이너,우리동네파크트레이너,일반,헬스,"월, 수 14:00~15:30",홍제천 일대,20,서대문구,서울 서대문구 연희동 170-181,02-335-7330,,37.5798169,126.9356641
78,헬스(홍제천 일대),서대문,우리동네파크트레이너,우리동네파크트레이너,일반,헬스,금 14:00~15:30,홍제천 일대,20,서대문구,서울 서대문구 연희동 170-181,02-335-7330,,37.5798169,126.9356641
79,헬스(홍제천 일대),서대문,우리동네파크트레이너,우리동네파크트레이너,일반,헬스,"화, 수, 목 09:00~10:30",홍제천 일대,20,서대문구,서울 서대문구 연희동 170-181,02-335-7330,,37.5798169,126.9356641
80,뉴스포츠(북아현방과후교실),서대문,일반체육활동사업,일반체육활동사업,일반,뉴스포츠,"월, 수 15:00~16:20",북아현방과후교실,25,북아현방과후교실,서울특별시 서대문구 충정로 52,02-364-3462,,37.56335057,126.9658861
81,경춘선 숲길 걷기 수업(경춘선숲길),노원,일반체육활동사업,일반체육활동사업,일반,경춘선 숲길 걷기 수업,수 10:45~11:30,경춘선숲길,15,노원구민,서울특별시 노원구 동일로198가길 149,,,37.63039111,127.0670364
82,경춘선 숲길 걷기 수업(경춘선숲길),노원,일반체육활동사업,일반체육활동사업,일반,경춘선 숲길 걷기 수업,수 10:00~10:45,경춘선숲길,15,노원구민,서울특별시 노원구 동일로198가길 149,,,37.63039111,127.0670364
83,경춘선 숲길 걷기 수업(경춘선숲길),노원,일반체육활동사업,일반체육활동사업,일반,경춘선 숲길 걷기 수업,월 10:45~11:30,경춘선숲길,15,노원구민,서울특별시 노원구 동일로198가길 149,,,37.63039111,127.0670364
84,경춘선 숲길 걷기 수업(경춘선숲길),노원,일반체육활동사업,일반체육활동사업,일반,경춘선 숲길 걷기 수업,월 10:00~10:45,경춘선숲길,15,노원구민,서울특별시 노원구 동일로198가길 149,,,37.63039111,127.0670364
85,경춘선 숲길 걷기 수업(경춘선 숲길),노원,일반체육활동사업,일반체육활동사업,일반,경춘선 숲길 걷기 수업,금 10:40~11:20,경춘선 숲길,20,노원구민,서울특별시 노원구 동일로198가길 149,,,37.63039111,127.0670364
86,경춘선 숲길 걷기 수업(경춘선 숲길),노원,일반체육활동사업,일반체육활동사업,일반,경춘선 숲길 걷기 수업,금 10:00~10:40,경춘선 숲길,20,노원구민,서울특별시 노원구 동일로198가길 149,,,37.63039111,127.0670364
87,경춘선 숲길 걷기 수업(경춘선 숲길),노원,일반체육활동사업,일반체육활동사업,일반,경춘선 숲길 걷기 수업,월 10:40~11:20,경춘선 숲길,20,노원구민,서울특별시 노원구 동일로198가길 149,,,37.63039111,127.0670364
88,경춘선 숲길 걷기 수업(경춘선 숲길),노원,일반체육활동사업,일반체육활동사업,일반,경춘선 숲길 걷기 수업,월 10:00~10:40,경춘선 숲길,20,노원구민,서울특별시 노원구 동일로198가길 149,,,37.63039111,127.0670364
89,경춘선 숲길 걷기 수업(경춘선숲길),노원,일반체육활동사업,걷기운동,일반,경춘선 숲길 걷기 수업,금 10:40~11:20,경춘선숲길,10,노원구민,서울특별시 노원구 동일로198가길 149,,,37.63039111,127.0670364
90,경춘선 숲길 걷기 수업(경춘선숲길),노원,일반체육활동사업,걷기운동,일반,경춘선 숲길 걷기 수업,금 10:00~10:40,경춘선숲길,10,노원구민,서울특별시 노원구 동일로198가길 149,,,37.63039111,127.0670364
91,경춘선 숲길 걷기 수업(경춘선숲길),노원,일반체육활동사업,걷기운동,일반,경춘선 숲길 걷기 수업,목 10:40~11:20,경춘선숲길,10,노원구민,서울특별시 노원구 동일로198가길 149,,,37.63039111,127.0670364
92,경춘선 숲길 걷기 수업(경춘선숲길),노원,일반체육활동사업,걷기운동,일반,경춘선 숲길 걷기 수업,목 10:00~10:40,경춘선숲길,10,노원구민,서울특별시 노원구 동일로198가길 149,,,37.63039111,127.0670364
93,학교체육(월계복지관),노원,일반체육활동사업,일반체육활동사업,일반,학교체육,목 16:50~17:30,월계복지관,8,월계복지관,서울특별시 노원구 초안산로 1길 51,,,37.62724445,127.0527656
94,헬스(오동생활체육공원),강북,일반체육활동사업,일반체육활동사업,일반,헬스,월수금 15:00~16:30,오동생활체육공원,15,오동생활체육관,서울특별시 강북구 오패산로52라길 149,02-989-3422,,37.62080086,127.0344901
95,축구(강북구민운동장),강북,일반체육활동사업,일반체육활동사업,일반,축구,수 13:40~16:00,강북구민운동장,35명,수유시장상인회축구동아리,서울특별시 강북구 오현로 187-25,,,37.62942638,127.0379894
96,생활체조(래미안라센트아파트),성북,일반체육활동사업,일반체육활동사업,일반,생활체조,목 10:00~10:45,래미안라센트아파트,20명,래미안라센트아파트,서울특별시 성북구 종암로24가길 80,02-917-1426,,37.59931367,127.0392269
97,걷기운동(북한산둘레길),성북,일반체육활동사업,일반체육활동사업,일반,걷기운동,수 10:00~11:50,북한산둘레길,30명,북한산둘레길,서울특별시 성북구 솔샘로25길 121-50,02-3676-7330,,37.62095698,127.0068831
98,걷기운동(성북동성곽길),성북,일반체육활동사업,일반체육활동사업,일반,걷기운동,월 10:00~11:50,성북동성곽길,30명,성북동성곽길,서울특별시 성북구,,,37.58935882,127.0167029
99,걷기운동(북서울꿈의숲),성북,일반체육활동사업,일반체육활동사업,일반,걷기운동,금 10:00~11:50,북서울꿈의숲,30명,북서울꿈의숲,서울특별시 강북구 월계로 173,02-3676-7330,,37.62025446,127.0443247
100,생활체조(래미안라센트아파트),성북,일반체육활동사업,일반체육활동사업,일반,생활체조,목 10:00~10:45,래미안라센트아파트,20명,래미안라센트아파트,서울특별시 성북구 종암로24가길 80,02-917-1426,,37.59931367,127.0392269
101,걷기운동(북한산둘레길),성북,일반체육활동사업,일반체육활동사업,일반,걷기운동,수 10:00~11:50,북한산둘레길,30명,북한산둘레길,서울특별시 성북구 솔샘로25길 121-50,02-3676-7330,,37.62095698,127.0068831
102,생활체조(성북구보건소),성북,일반체육활동사업,일반체육활동사업,일반,생활체조,"화, 목 15:50~17:10",성북구보건소,50명,성북구보건소,서울특별시 성북구 화랑로 63,,http://www.sb.go.kr/bogunso/main.do,37.60271066,127.0395333
103,생활체조(정릉 e편한세상아파트),성북,일반체육활동사업,일반체육활동사업,일반,생활체조,금 10:00~10:50,정릉 e편한세상아파트,20명,정릉e편한세상아파트,서울특별시 성북구 북악산로 851,02-914-1871,,37.60025102,127.0183154
104,생활체조(성북구보건소),성북,일반체육활동사업,일반체육활동사업,일반,생활체조,"월,수 16:30~17:10",성북구보건소,30명,성북구보건소,서울특별시 성북구 화랑로63,02-2241-1749,www.sb.go.kr/bogunso/main.do,37.60271066,127.0395333
105,생활체조(성북구보건소),성북,일반체육활동사업,일반체육활동사업,일반,생활체조,"월,수 15:50~16:30",성북구보건소,30명,성북구보건소,서울특별시 성북구 화랑로63,02-2241-1749,www.sb.go.kr/bogunso/main.do,37.60271066,127.0395333
106,걷기(성북동 성곽길),성북,일반체육활동사업,일반체육활동사업,일반,걷기,월 11:00~12:00,성북동 성곽길,30명,성북구체육회,서울특별시 종로구 창경궁로307 성북동 성곽길 혜화문,,,37.58796215,127.003505
107,걷기(성북동 성곽길),성북,일반체육활동사업,일반체육활동사업,일반,걷기,월 10:00~11:00,성북동 성곽길,30명,성북구체육회,서울특별시 종로구 창경궁로307 성북동 성곽길 혜화문,,,37.58796215,127.003505
108,걷기(북서울꿈의숲),성북,일반체육활동사업,일반체육활동사업,일반,걷기,금 10:00~11:20,북서울꿈의숲,30명,북서울꿈의숲,서울특별시 강북구 월계로 173,02-3676-7330,,37.62025446,127.0443247
109,생활체조(돈암코오롱아파트),성북,일반체육활동사업,일반체육활동사업,일반,생활체조,목 10:00~10:40,돈암코오롱아파트,20명,돈암코오롱아파트,서울특별시 성북구 아리랑로 75,010-8331-9352,,37.59883026,127.0136255
110,근력운동(석관두산아파트),성북,일반체육활동사업,일반체육활동사업,일반,근력운동,목 10:00~10:45,석관두산아파트,20명,성북구보건소,서울특별시 성북구 화랑로48길16,,,37.61376289,127.0689946
111,걷기(북한산둘레길),성북,일반체육활동사업,일반체육활동사업,일반,걷기,수 10:00~11:30,북한산둘레길,30명,성북구체육회,서울특별시 성북구 삼선교로 30-1,02-3676-7330,,37.58795905,127.009126
