,분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(X좌표),경도(Y좌표),유무료,문화포털상세URL
16,콘서트,강동구,"[2023 카즈미 타테이시 트리오 내한공연] 지브리, 재즈를 만나다(서울 강동)",2023-11-11~2023-11-11,강동아트센터 대극장 한강,기타,만 7세 이상,"VIP석 77,000원 / R석 66,000원 / S석 55,000원",Piano 카즈미 타테이시 Contrabass 시노부 사토 Drums 마오 스즈키,"하울의 움직이는 성, 센과 치히로의 행방불명 등 지브리 애니메이션 주제곡",,https://tickets.interpark.com/goods/23010469,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e96a8ee94fab47d59a00d84cfb25c25d&thumb=Y,2023-07-28,시민,00:00.0,00:00.0,기타,37.551449,127.157598,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142578&menuNo=200008
17,국악,종로구,"[서울돈화문국악당] 길, Tea, Pleasure 월드뮤직그룹 공명",2023-11-11~2023-11-11,서울돈화문국악당,서울돈화문국악당,전체관람가,,,,,https://sdtt.or.kr/user/program/2023/11/1412,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=73f0c43b7ed94399964e82d6b8823e10&thumb=Y,2023-10-11,기관,00:00.0,00:00.0,기타,37.57725028,126.9907307,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143645&menuNo=200008
18,전시/미술,광진구,[광진문화재단] 나루의 발견 공존(共存),2023-11-10~2023-12-09,나루아트센터 전시실,광진문화재단,만 7세 이상,"1,000원",,,,https://tickets.interpark.com/goods/23013898,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=df99758ce6a5411f90e58cf19dbb95be&thumb=Y,2023-10-13,기관,00:00.0,00:00.0,기타,37.53782227,127.0704338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143670&menuNo=200009
19,연극,구로구,2023 서울시 찾아가는 유랑극단 [밥을 먹다],2023-11-10~2023-11-10,오류아트홀,구로문화재단,중학생 이상,,,,,https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3695&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=afaaed5910014a13be82e2fe75f5f5d4&thumb=Y,2023-09-19,기관,00:00.0,00:00.0,,37.49535812,126.8460358,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143398&menuNo=200008
20,교육/체험,마포구,[마포구립서강도서관 11월] 2023년 읽는 인간 호모부커스 Ⅳ [사랑의 기술],2023-11-09~2023-11-30,서강도서관 3층 세미나실,마포구청,성인,,,,,https://mplib.mapo.go.kr/sglib/MENU1199/PGM3028/eventDetail.do?currentPageNo=1&eventSn=7607,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e946c6dfdc7948c99e7ec1798a1fcef4&thumb=Y,2023-10-07,기관,00:00.0,00:00.0,기타,37.5477397,126.9320894,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143623&menuNo=200011
21,무용,서초구,[서초문화재단] 해설이 있는 발레 [호두까기 인형],2023-11-08~2023-11-08,반포심산아트홀,서초문화재단,만5세이상,"현장 전석 14,000원, 온라인 무료",와이즈발레단,,,https://www.seochocf.or.kr/site/main/seocho/show/view?show_idx=544,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9d08fcd9c57f4a7a9b38c66a37cfc74d&thumb=Y,2023-10-06,기관,00:00.0,00:00.0,기타,37.49883446,126.9912425,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143605&menuNo=200008
22,영화,마포구,제13회 서울배리어프리영화제,2023-11-07~2023-11-11,한국영상자료원 시네마테크KOFA,기타,누구나 ,,,,,https://baff.or.kr/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=da5a33045fb84822957f1170f2581b04&thumb=Y,2023-10-13,시민,00:00.0,00:00.0,기타,37.58045107,126.8898935,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143687&menuNo=200013
23,클래식,마포구,M 한국가곡 시리즈 [모던가곡] #6. 첫사랑,2023-11-07~2023-11-07,마포아트센터 플레이 맥,마포문화재단,8세 이상 관람가,"전석 20,000원","소프라노 박혜진, 테너 김성진, 바리톤 양준모, 해금 천지윤, 피아노 권한숙",프로그램 추후 공개 예정 ,,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2233&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f94b53c1467444368f03a65bb6c986ce&thumb=Y,2023-07-13,기관,00:00.0,00:00.0,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142401&menuNo=200008
24,클래식,종로구,서울시여성콘서트합창단 제6회 정기연주회,2023-11-07~2023-11-07,M시어터,세종문화회관,누구나,"R석 5만원, S석 3만원","지휘 임진순 피아노 양찬영 배우 김지현, 문민경, 송기호, 김태성  Soprano 염혜원？정은주 정미화 이음정 홍석인  김주형 김미겸 김용희 김미연 ？ Mezzo Soprano？？？？ 이경혜？조인순 곽영순 서명신 김영숙 황은하 박혜성 조영숙？박귀정 김미경？김옥련？강남숙 이은영  Alto 최영숙？박신영？온옥 계경희？이행숙 강명옥？황광희 하경혜？차영실 김순임 장영옥 김연희",서울특별시 성평등기금 후원으로 초연되었던 합창드라마 ‘그들의 노래’를 정식공연으로 무대에 올린다.,회장 서명신 고문 계경희 부회장 온 옥  총무 강명옥 회계 황은하 감사 이음정 파트장 홍석인 박귀정 하경혜,http://pf.kakao.com/_uximUxj/102195073,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=abf43c2b5f174f9a9ec27304a16dfb64&thumb=Y,2023-09-28,시민,00:00.0,00:00.0,가족 문화행사,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143533&menuNo=200008
25,콘서트,강남구,"[2023 카즈미 타테이시 트리오 내한공연] 지브리, 재즈를 만나다(서울 강남)",2023-11-06~2023-11-06,광림아트센터 장천홀,기타,만 7세 이상,"VIP석 77,000원 R석 66,000원 S석 55,000원",Piano 카즈미 타테이시 Contrabass 시노부 사토 Drums 마오 스즈키,"하울의 움직이는 성, 센과 치히로의 행방불명 등 지브리 애니메이션 주제곡",,https://tickets.interpark.com/goods/23009987,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e2c9ff153d4e4db5b9d6fa34198a863d&thumb=Y,2023-07-25,시민,00:00.0,00:00.0,기타,37.52435576,127.025985,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142527&menuNo=200008
26,교육/체험,노원구,[서울시립과학관] 청소년 과학교육 프로그램 Scinece trip,2023-11-05~2023-11-26,서울시립과학관 교육실,서울시립과학관,중학생,"강좌당 10,000원 (개별강좌 선택 신청)",,,,https://science.seoul.go.kr/program/science/read?menuId=14&progMstId=668,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1c7d28e8d47b41898fe920a838021708&thumb=Y,2023-10-10,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.64199411,127.0774371,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143630&menuNo=200011
27,연극,성북구,연극 [서교동에서 죽다],2023-11-04~2023-11-05,"꿈빛극장 (서울 성북구 길음로 7길 20, 서울성북미디어문화마루 4층)",성북문화재단,8세 이상 (취학 아동 관람 가능),"전석 30,000원",,,,https://www.sbculture.or.kr/culture/main/contents.do?menuNo=500191,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=64b63f27ddc0427dbbfa74d0a2ab4275&thumb=Y,2023-09-20,기관,00:00.0,00:00.0,,37.60375521,127.0222037,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143421&menuNo=200008
28,뮤지컬/오페라,광진구,[광진문화재단] 행복한 연극 내 엄마 수연씨,2023-11-04~2023-11-04,나루아트센터 대공연장,광진문화재단,만 7세 이상,"R석 60,000원 / S석 40,000원",,,,https://tickets.interpark.com/goods/23009567,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1493d86a87324cf4a43591511be34602&thumb=Y,2023-10-13,기관,00:00.0,00:00.0,기타,37.53782227,127.0704338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143672&menuNo=200008
29,교육/체험,마포구,[서울문화재단] 서울라이브 B-side ♬인디음악 셀프 브랜딩 워크숍,2023-11-03~2023-11-29,서울예술실험센터,서울문화재단,인디뮤지션을 비롯한 인디음악 관련 업계 종사자,,,,,https://www.sfac.or.kr/opensquare/notice/notice_list.do?cbIdx=955&bcIdx=134808&type=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a4fef07774164beaba69c657fe72b8e4&thumb=Y,2023-10-16,기관,00:00.0,00:00.0,기타,37.55246841,126.9209402,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143731&menuNo=200011
30,축제-문화/예술,금천구,[금천문화재단] 제3회 금천패션영화제,2023-11-03~2023-11-06,"롯데시네마 가산디지털점, 마리오아울렛 물류센터",금천문화재단,서울시민 누구나,무료,,"패션을 소재로 열리는 <제3회 금천패션영화제>가 금천구 가산디지털단지 일대에서 펼쳐진다. 패션에 관한 상상을 담은 45편의 단편영화 경쟁작과 특별초청 작품을 상영한다. 롯데시네마 가산디지털점에서 상영회와 GV를 진행하고, 금천구 의류산업의 역사를 간직하고 있는 마리오아울렛 물류센터에서 개막이벤트와 패션쇼, 특별상영회 등 다양한 부대행사를 진행한다.",,https://www.gcfff.net/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=29bade26ca844b6ca6c9875e7373f27a&thumb=Y,2023-10-10,기관,00:00.0,00:00.0,기타,37.45706565,126.8960369,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143637&menuNo=200010
31,연극,구로구,[구로꿈나무인형극제] 하이브리드 신체극 계단의 아이,2023-11-03~2023-11-04,구로 꿈나무극장,구로문화재단,36개월 이상 (추천연령 5세 ~ 11세),"전석 10,000원",,,,https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3690&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=794e0068dc3544649b7414b5c2649a68&thumb=Y,2023-09-19,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.48956232,126.8862929,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143396&menuNo=200008
32,교육/체험,마포구,이한열소셜 펠로우 시리즈 강연 ,2023-11-02~2023-11-16,이한열기념관 지하 연세민주동문회 ,기타,누구나 ,3만원 ,"이주형(전국청년정책네트워크), 이한(남성과함께하는페미니즘), 박정훈(라이더유니온) ","요즘 청년들은 무엇에 주목하는가, 청년이 말하고 중년이 듣는다. ",,https://www.facebook.com/photo/?fbid=6622828277797048&set=pcb.6622834351129774,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7eb44f9a9c1c4f099ace8ca0755986d0&thumb=Y,2023-09-19,기관,00:00.0,00:00.0,기타,37.55504357,126.9338654,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143404&menuNo=200011
33,무용,종로구,엘리자베스 기덕,2023-11-02~2023-11-05,세종M씨어터,세종문화회관,만 7세 이상,"R석 50,000원  / S석 30,000원",,<html><head></head><body spellcheck=,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=33858&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bbb51a41852d4526b56ac6004d0cc983&thumb=Y,2023-09-14,기관,00:00.0,00:00.0,,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143315&menuNo=200008
34,연극,노원구,2023 노원어린이극장 기획공연 [하얀나라],2023-11-02~2023-11-04,노원어린이극장,노원문화재단,어린이,"20,000원",,,,https://nowonarts.kr/html/pe/performancedetail.php?idx=344,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=53be9369eb3847d5a7a7dcaef0043cea&thumb=Y,2023-10-11,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.65445005,127.0636923,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143640&menuNo=200008
35,교육/체험,종로구,[돈의문박물관마을] 2023 돈의문야학당 프로그램 참여자 모집(11월),2023-11-01~2023-11-15,상세정보 참조,돈의문박물관마을,관심있는 누구나,"회차별 상이, 신청서 참조",,,,https://dmvillage.info/news/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16601144&t=board,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=af71b5eadb0d4c0ab53f3e167162594e&thumb=Y,2023-10-16,기관,00:00.0,00:00.0,기타,37.56882395,126.9685231,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143733&menuNo=200011
36,교육/체험,종로구,서울시민관광 아카데미 [관광업 특강 9회차] 데이터 기반의 관광산업 트렌드 이해와 활용,2023-11-01~2023-11-01,서울관광플라자 4층 다목적홀,기타,관광업 종사자 및 예비종사자 (취/창업자) 오프라인 100명,,,,,https://www.sto-academy.com/service-page/11-01-%ED%8A%B8%EB%A0%8C%EB%93%9C%ED%8A%B9%EA%B0%95-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EA%B8%B0%EB%B0%98%EC%9D%98-%EA%B4%80%EA%B4%91%EC%82%B0%EC%97%85-%ED%8A%B8%EB%A0%8C%EB%93%9C-%EC%9D%B4%ED%95%B4%EC%99%80-%ED%99%9C%EC%9A%A9?referral=service_list_widget,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3de93da43e214b2ab4a54030466b819c&thumb=Y,2023-10-05,기관,00:00.0,00:00.0,,37.56863139,126.9871504,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143603&menuNo=200011
37,클래식,강동구,"[강동문화재단] 마티네 콘서트 낭만드림 11월, Romantic Orchestra",2023-11-01~2023-11-01,대극장 한강,강동문화재단,8세 이상,"전석 20,000원",디토오케스트라,2023년 마티네 콘서트 마지막 순서는 디토오케스트라와 함께,,https://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=1999&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ad800dea97eb40ea9deb1bafe8d206cc&thumb=Y,2023-10-06,기관,00:00.0,00:00.0,기타,37.55122046,127.1573425,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143604&menuNo=200008
38,클래식,구로구,브런치콘서트 [이달의 공연] 10월 웃음 가득 뮤지컬 갈라,2023-10-31~2023-10-31,구로아트밸리 예술극장,구로문화재단,7세 이상 관람가,"전석 10,000원 / 단체10인 이상 할인 20% (전화예매필수)",,,,https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3672&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=44c90392a4ae434885a563f190ac09c4&thumb=Y,2023-07-28,기관,00:00.0,00:00.0,기타,37.49655847,126.8889639,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142574&menuNo=200008
39,국악,중구,남산골가무악국악한마당,2023-10-30~2023-10-30,충무아트센터 대극장 ,기타,누구나,무료,"판소리 왕기철,박춘맹,김학용,김명남,주소연, 가야금병창 정경옥 대통령상수상및 판소리이수자  명무,장임순 사물놀이강의정외 민요,각설이 다수출연 ","사물놀이,창극,판소리,민요,장단",30년이상의 국악인들이 공연을 준비함 ,http://namsangolgukak.or.kr/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6a4995269e514a6e992ca87ab12bb6d5&thumb=Y,2023-08-10,기관,00:00.0,00:00.0,기타,37.56594097,127.0147909,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142756&menuNo=200008
40,교육/체험,종로구,2023 낙원 속 생활문화 클래스 [낙원 악기 원데이 클래스],2023-10-28~2023-11-25,"서울생활문화센터 낙원 연습실(대), 강의실",서울생활문화센터-낙원,서울시민 청소년 ~ 성인 누구나,,,,,http://www.nakwon-communityart.or.kr/bbs/edu&mode=view&no=99,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=95f465e583dd485c84a3e402876108c9&thumb=Y,2023-10-11,기관,00:00.0,00:00.0,기타,37.57276352,126.9879025,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143654&menuNo=200011
41,전시/미술,중구,[시민청] 내게 보이는 것들 The things that I see,2023-10-28~2023-11-03, 서울시청 시민청 지하 1층 시민청갤러리,시민청,시민 누구나,,,,,https://www.seoulcitizenshall.kr/?r=sch&m=program2&cate=&ing=active&sort=uid&mod=view&p=1&uid=2728,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3b49e56526924e688390d8a96018da98&thumb=Y,2023-10-11,기관,00:00.0,00:00.0,기타,37.566635,126.978675,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143655&menuNo=200009
